#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.66000        19.29342        19.38075        19.25813        19.14798        19.57793        18.09128       -22.27481       -23.39869
        0.67000        19.28930        19.37648        19.25123        19.14236        19.57241        18.08580       -22.31362       -23.43751
        0.68000        19.28506        19.37224        19.24428        19.13666        19.56682        18.08023       -22.35197       -23.47585
        0.69000        19.28073        19.36802        19.23731        19.13089        19.56119        18.07461       -22.38985       -23.51373
        0.70000        19.27632        19.36383        19.23033        19.12503        19.55553        18.06893       -22.42727       -23.55116
        0.71000        19.27185        19.35966        19.22336        19.11910        19.54984        18.06320       -22.46424       -23.58813
        0.72000        19.26733        19.35552        19.21642        19.11309        19.54414        18.05744       -22.50076       -23.62465
        0.73000        19.26276        19.35140        19.20951        19.10702        19.53843        18.05166       -22.53684       -23.66073
        0.74000        19.25816        19.34732        19.20263        19.10091        19.53271        18.04586       -22.57249       -23.69638
        0.75000        19.25352        19.34326        19.19578        19.09477        19.52699        18.04006       -22.60770       -23.73159
        0.76000        19.24885        19.33924        19.18895        19.08862        19.52127        18.03427       -22.64249       -23.76638
        0.77000        19.24416        19.33527        19.18216        19.08248        19.51556        18.02848       -22.67686       -23.80075
        0.78000        19.23944        19.33134        19.17539        19.07635        19.50987        18.02271       -22.71081       -23.83470
        0.79000        19.23470        19.32746        19.16865        19.07024        19.50421        18.01695       -22.74435       -23.86824
        0.80000        19.22994        19.32364        19.16194        19.06416        19.49858        18.01123       -22.77749       -23.90137
        0.81000        19.22518        19.31987        19.15527        19.05810        19.49298        18.00553       -22.81022       -23.93411
        0.82000        19.22040        19.31617        19.14864        19.05208        19.48742        17.99987       -22.84256       -23.96645
        0.83000        19.21563        19.31254        19.14208        19.04608        19.48189        17.99426       -22.87450       -23.99839
        0.84000        19.21087        19.30898        19.13558        19.04011        19.47641        17.98869       -22.90606       -24.02995
        0.85000        19.20612        19.30548        19.12916        19.03418        19.47097        17.98316       -22.93724       -24.06112
        0.86000        19.20139        19.30207        19.12283        19.02827        19.46558        17.97769       -22.96803       -24.09192
        0.87000        19.19670        19.29873        19.11659        19.02238        19.46025        17.97227       -22.99846       -24.12235
        0.88000        19.19204        19.29547        19.11045        19.01650        19.45497        17.96691       -23.02851       -24.15240
        0.89000        19.18744        19.29229        19.10440        19.01063        19.44976        17.96160       -23.05820       -24.18209
        0.90000        19.18289        19.28919        19.09846        19.00479        19.44462        17.95636       -23.08753       -24.21141
        0.91000        19.17841        19.28617        19.09264        18.99897        19.43953        17.95119       -23.11650       -24.24038
        0.92000        19.17399        19.28322        19.08692        18.99319        19.43451        17.94608       -23.14511       -24.26900
        0.93000        19.16965        19.28035        19.08134        18.98743        19.42956        17.94104       -23.17338       -24.29727
        0.94000        19.16538        19.27753        19.07587        18.98169        19.42467        17.93608       -23.20130       -24.32519
        0.95000        19.16119        19.27479        19.07055        18.97599        19.41986        17.93119       -23.22889       -24.35277
        0.96000        19.15708        19.27210        19.06535        18.97032        19.41511        17.92637       -23.25613       -24.38002
        0.97000        19.15306        19.26946        19.06030        18.96470        19.41043        17.92163       -23.28304       -24.40693
        0.98000        19.14911        19.26689        19.05540        18.95914        19.40579        17.91696       -23.30962       -24.43351
        0.99000        19.14524        19.26436        19.05064        18.95364        19.40119        17.91238       -23.33587       -24.45976
        1.00000        19.14145        19.26188        19.04604        18.94822        19.39661        17.90787       -23.36180       -24.48569
        1.01000        19.13773        19.25945        19.04159        18.94289        19.39203        17.90345       -23.38742       -24.51130
        1.02000        19.13408        19.25707        19.03730        18.93765        19.38746        17.89912       -23.41271       -24.53660
        1.03000        19.13050        19.25473        19.03318        18.93251        19.38289        17.89487       -23.43770       -24.56158
        1.04000        19.12699        19.25244        19.02922        18.92747        19.37833        17.89070       -23.46237       -24.58626
        1.05000        19.12357        19.25020        19.02543        18.92251        19.37379        17.88662       -23.48674       -24.61063
        1.06000        19.12021        19.24800        19.02182        18.91763        19.36928        17.88263       -23.51081       -24.63470
        1.07000        19.11695        19.24585        19.01837        18.91282        19.36482        17.87872       -23.53458       -24.65847
        1.08000        19.11376        19.24374        19.01510        18.90809        19.36041        17.87490       -23.55805       -24.68194
        1.09000        19.11067        19.24169        19.01199        18.90344        19.35606        17.87118       -23.58123       -24.70512
        1.10000        19.10768        19.23969        19.00903        18.89886        19.35180        17.86754       -23.60413       -24.72801
        1.11000        19.10479        19.23775        19.00622        18.89436        19.34761        17.86400       -23.62673       -24.75062
        1.12000        19.10200        19.23586        19.00355        18.88995        19.34352        17.86054       -23.64905       -24.77294
        1.13000        19.09932        19.23404        19.00102        18.88563        19.33953        17.85718       -23.67110       -24.79498
        1.14000        19.09675        19.23228        18.99862        18.88140        19.33563        17.85391       -23.69286       -24.81675
        1.15000        19.09429        19.23059        18.99634        18.87727        19.33182        17.85073       -23.71435       -24.83824
        1.16000        19.09194        19.22897        18.99418        18.87325        19.32809        17.84764       -23.73557       -24.85946
        1.17000        19.08970        19.22741        18.99213        18.86933        19.32444        17.84465       -23.75652       -24.88041
        1.18000        19.08757        19.22593        18.99021        18.86554        19.32085        17.84174       -23.77721       -24.90110
        1.19000        19.08553        19.22451        18.98840        18.86186        19.31733        17.83893       -23.79763       -24.92152
        1.20000        19.08360        19.22316        18.98672        18.85832        19.31385        17.83622       -23.81779       -24.94168
        1.21000        19.08176        19.22187        18.98516        18.85489        19.31041        17.83360       -23.83770       -24.96159
        1.22000        19.08002        19.22065        18.98373        18.85161        19.30702        17.83107       -23.85735       -24.98124
        1.23000        19.07837        19.21949        18.98243        18.84845        19.30369        17.82862       -23.87675       -25.00063
        1.24000        19.07681        19.21839        18.98126        18.84541        19.30042        17.82625       -23.89590       -25.01978
        1.25000        19.07535        19.21735        18.98022        18.84251        19.29724        17.82395       -23.91480       -25.03868
        1.26000        19.07398        19.21637        18.97932        18.83972        19.29415        17.82174       -23.93345       -25.05734
        1.27000        19.07272        19.21545        18.97855        18.83707        19.29116        17.81960       -23.95187       -25.07576
        1.28000        19.07155        19.21459        18.97792        18.83454        19.28825        17.81753       -23.97005       -25.09393
        1.29000        19.07049        19.21379        18.97742        18.83213        19.28544        17.81554       -23.98799       -25.11187
        1.30000        19.06954        19.21306        18.97705        18.82986        19.28271        17.81363       -24.00569       -25.12958
        1.31000        19.06871        19.21240        18.97681        18.82771        19.28006        17.81179       -24.02316       -25.14705
        1.32000        19.06800        19.21180        18.97669        18.82567        19.27748        17.81004       -24.04041       -25.16430
        1.33000        19.06740        19.21127        18.97669        18.82375        19.27498        17.80837       -24.05742       -25.18131
        1.34000        19.06693        19.21081        18.97682        18.82195        19.27254        17.80678       -24.07421       -25.19810
        1.35000        19.06659        19.21042        18.97707        18.82027        19.27016        17.80528       -24.09078       -25.21467
        1.36000        19.06637        19.21010        18.97743        18.81871        19.26783        17.80387       -24.10713       -25.23102
        1.37000        19.06628        19.20986        18.97790        18.81727        19.26555        17.80256       -24.12326       -25.24715
        1.38000        19.06630        19.20969        18.97849        18.81595        19.26332        17.80133       -24.13917       -25.26306
        1.39000        19.06646        19.20959        18.97918        18.81475        19.26113        17.80020       -24.15487       -25.27876
        1.40000        19.06673        19.20957        18.97997        18.81368        19.25898        17.79916       -24.17036       -25.29424
        1.41000        19.06711        19.20963        18.98086        18.81274        19.25688        17.79822       -24.18563       -25.30952
        1.42000        19.06761        19.20975        18.98185        18.81193        19.25482        17.79737       -24.20070       -25.32459
        1.43000        19.06822        19.20995        18.98293        18.81125        19.25282        17.79661       -24.21557       -25.33945
        1.44000        19.06895        19.21023        18.98410        18.81071        19.25087        17.79595       -24.23023       -25.35411
        1.45000        19.06977        19.21058        18.98535        18.81031        19.24899        17.79536       -24.24469       -25.36857
        1.46000        19.07071        19.21101        18.98669        18.81004        19.24719        17.79487       -24.25894       -25.38283
        1.47000        19.07174        19.21152        18.98812        18.80991        19.24549        17.79445       -24.27301       -25.39689
        1.48000        19.07288        19.21211        18.98962        18.80991        19.24389        17.79411       -24.28687       -25.41076
        1.49000        19.07411        19.21277        18.99121        18.81004        19.24240        17.79386       -24.30054       -25.42443
        1.50000        19.07545        19.21351        18.99287        18.81029        19.24104        17.79368       -24.31402       -25.43791
        1.51000        19.07689        19.21433        18.99461        18.81067        19.23980        17.79359       -24.32731       -25.45120
        1.52000        19.07843        19.21523        18.99642        18.81116        19.23870        17.79358       -24.34042       -25.46430
        1.53000        19.08007        19.21621        18.99829        18.81178        19.23772        17.79365       -24.35333       -25.47722
        1.54000        19.08180        19.21727        19.00024        18.81252        19.23689        17.79380       -24.36606       -25.48995
        1.55000        19.08364        19.21841        19.00224        18.81338        19.23619        17.79403       -24.37861       -25.50250
        1.56000        19.08558        19.21963        19.00431        18.81437        19.23563        17.79433       -24.39098       -25.51487
        1.57000        19.08761        19.22093        19.00644        18.81548        19.23521        17.79471       -24.40317       -25.52705
        1.58000        19.08975        19.22230        19.00862        18.81672        19.23493        17.79517       -24.41518       -25.53906
        1.59000        19.09199        19.22375        19.01086        18.81809        19.23479        17.79570       -24.42701       -25.55090
        1.60000        19.09432        19.22528        19.01316        18.81958        19.23478        17.79630       -24.43867       -25.56256
        1.61000        19.09676        19.22689        19.01551        18.82120        19.23491        17.79698       -24.45016       -25.57405
        1.62000        19.09930        19.22857        19.01792        18.82294        19.23518        17.79773       -24.46148       -25.58537
        1.63000        19.10194        19.23034        19.02038        18.82479        19.23558        17.79856       -24.47263       -25.59652
        1.64000        19.10468        19.23218        19.02291        18.82676        19.23610        17.79946       -24.48361       -25.60750
        1.65000        19.10752        19.23410        19.02549        18.82885        19.23676        17.80044       -24.49442       -25.61831
        1.66000        19.11047        19.23611        19.02813        18.83104        19.23754        17.80148       -24.50507       -25.62896
        1.67000        19.11352        19.23820        19.03083        18.83332        19.23844        17.80261       -24.51556       -25.63945
        1.68000        19.11667        19.24037        19.03359        18.83570        19.23947        17.80380       -24.52589       -25.64978
        1.69000        19.11991        19.24262        19.03642        18.83818        19.24063        17.80506       -24.53606       -25.65994
        1.70000        19.12326        19.24496        19.03930        18.84075        19.24191        17.80640       -24.54607       -25.66995
        1.71000        19.12671        19.24738        19.04224        18.84342        19.24331        17.80781       -24.55592       -25.67981
        1.72000        19.13025        19.24989        19.04524        18.84618        19.24484        17.80929       -24.56562       -25.68950
        1.73000        19.13389        19.25249        19.04829        18.84904        19.24649        17.81084       -24.57516       -25.69905
        1.74000        19.13762        19.25517        19.05140        18.85199        19.24826        17.81246       -24.58455       -25.70844
        1.75000        19.14144        19.25793        19.05456        18.85503        19.25014        17.81416       -24.59379       -25.71768
        1.76000        19.14535        19.26078        19.05778        18.85818        19.25213        17.81592       -24.60288       -25.72677
        1.77000        19.14936        19.26371        19.06105        18.86143        19.25423        17.81777       -24.61182       -25.73571
        1.78000        19.15345        19.26672        19.06436        18.86477        19.25644        17.81968       -24.62062       -25.74451
        1.79000        19.15763        19.26982        19.06773        18.86821        19.25875        17.82167       -24.62927       -25.75316
        1.80000        19.16190        19.27299        19.07115        18.87175        19.26116        17.82374       -24.63777       -25.76166
        1.81000        19.16625        19.27623        19.07461        18.87538        19.26366        17.82589       -24.64614       -25.77003
        1.82000        19.17069        19.27956        19.07812        18.87911        19.26626        17.82811       -24.65436       -25.77825
        1.83000        19.17521        19.28296        19.08168        18.88295        19.26893        17.83042       -24.66244       -25.78633
        1.84000        19.17981        19.28643        19.08528        18.88689        19.27170        17.83282       -24.67039       -25.79427
        1.85000        19.18449        19.28998        19.08893        18.89092        19.27455        17.83529       -24.67819       -25.80208
        1.86000        19.18925        19.29361        19.09263        18.89504        19.27749        17.83784       -24.68586       -25.80975
        1.87000        19.19410        19.29730        19.09638        18.89926        19.28052        17.84047       -24.69340       -25.81728
        1.88000        19.19903        19.30107        19.10018        18.90355        19.28364        17.84319       -24.70080       -25.82468
        1.89000        19.20404        19.30492        19.10403        18.90793        19.28686        17.84598       -24.70807       -25.83195
        1.90000        19.20914        19.30884        19.10793        18.91238        19.29018        17.84886       -24.71520       -25.83909
        1.91000        19.21432        19.31284        19.11188        18.91690        19.29360        17.85182       -24.72221       -25.84610
        1.92000        19.21958        19.31692        19.11588        18.92150        19.29713        17.85485       -24.72909       -25.85298
        1.93000        19.22493        19.32107        19.11993        18.92617        19.30076        17.85796       -24.73584       -25.85973
        1.94000        19.23036        19.32530        19.12403        18.93090        19.30449        17.86116       -24.74246       -25.86635
        1.95000        19.23588        19.32961        19.12819        18.93570        19.30832        17.86442       -24.74896       -25.87285
        1.96000        19.24148        19.33400        19.13239        18.94056        19.31226        17.86777       -24.75534       -25.87922
        1.97000        19.24717        19.33847        19.13665        18.94547        19.31631        17.87119       -24.76159       -25.88548
        1.98000        19.25295        19.34302        19.14095        18.95044        19.32047        17.87468       -24.76772       -25.89161
        1.99000        19.25881        19.34765        19.14531        18.95546        19.32473        17.87825       -24.77373       -25.89761
        2.00000        19.26476        19.35235        19.14971        18.96052        19.32912        17.88189       -24.77962       -25.90350
        2.01000        19.27080        19.35713        19.15415        18.96563        19.33362        17.88560       -24.78539       -25.90927
        2.02000        19.27692        19.36199        19.15865        18.97079        19.33824        17.88939       -24.79104       -25.91493
        2.03000        19.28312        19.36693        19.16320        18.97599        19.34299        17.89324       -24.79657       -25.92046
        2.04000        19.28942        19.37193        19.16779        18.98123        19.34786        17.89716       -24.80199       -25.92588
        2.05000        19.29580        19.37701        19.17244        18.98651        19.35285        17.90116       -24.80730       -25.93119
        2.06000        19.30226        19.38216        19.17713        18.99182        19.35797        17.90522       -24.81249       -25.93638
        2.07000        19.30881        19.38738        19.18188        18.99716        19.36322        17.90935       -24.81757       -25.94146
        2.08000        19.31544        19.39266        19.18668        19.00253        19.36859        17.91354       -24.82254       -25.94643
        2.09000        19.32216        19.39802        19.19153        19.00795        19.37408        17.91779       -24.82740       -25.95129
        2.10000        19.32896        19.40343        19.19643        19.01340        19.37970        17.92211       -24.83215       -25.95603
        2.11000        19.33584        19.40891        19.20138        19.01889        19.38542        17.92649       -24.83679       -25.96067
        2.12000        19.34279        19.41446        19.20639        19.02442        19.39126        17.93094       -24.84132       -25.96521
        2.13000        19.34983        19.42007        19.21145        19.02999        19.39721        17.93544       -24.84574       -25.96963
        2.14000        19.35695        19.42573        19.21656        19.03561        19.40326        17.94000       -24.85006       -25.97395
        2.15000        19.36414        19.43146        19.22172        19.04128        19.40940        17.94463       -24.85428       -25.97817
        2.16000        19.37140        19.43726        19.22694        19.04699        19.41564        17.94931       -24.85839       -25.98228
        2.17000        19.37874        19.44311        19.23220        19.05275        19.42196        17.95405       -24.86240       -25.98629
        2.18000        19.38615        19.44903        19.23751        19.05856        19.42836        17.95884       -24.86631       -25.99019
        2.19000        19.39363        19.45502        19.24287        19.06442        19.43484        17.96369       -24.87011       -25.99400
        2.20000        19.40118        19.46106        19.24828        19.07033        19.44140        17.96860       -24.87382       -25.99771
        2.21000        19.40880        19.46718        19.25373        19.07630        19.44802        17.97357       -24.87743       -26.00131
        2.22000        19.41649        19.47335        19.25922        19.08232        19.45471        17.97860       -24.88093       -26.00482
        2.23000        19.42424        19.47960        19.26476        19.08839        19.46146        17.98368       -24.88434       -26.00823
        2.24000        19.43205        19.48591        19.27034        19.09451        19.46827        17.98883       -24.88766       -26.01155
        2.25000        19.43992        19.49229        19.27596        19.10067        19.47514        17.99404       -24.89088       -26.01476
        2.26000        19.44785        19.49873        19.28162        19.10688        19.48206        17.99930       -24.89400       -26.01789
        2.27000        19.45583        19.50525        19.28732        19.11313        19.48904        18.00463       -24.89703       -26.02092
        2.28000        19.46387        19.51183        19.29306        19.11942        19.49608        18.01001       -24.89996       -26.02385
        2.29000        19.47197        19.51848        19.29884        19.12575        19.50317        18.01546       -24.90281       -26.02669
        2.30000        19.48012        19.52520        19.30465        19.13211        19.51031        18.02096       -24.90556       -26.02945
        2.31000        19.48833        19.53198        19.31051        19.13850        19.51752        18.02652       -24.90822       -26.03211
        2.32000        19.49658        19.53883        19.31641        19.14493        19.52479        18.03213       -24.91079       -26.03468
        2.33000        19.50489        19.54575        19.32236        19.15138        19.53212        18.03781       -24.91327       -26.03716
