#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.66000        18.11969        18.20701        18.08439        17.97425        18.40420        16.91755       -23.70098       -24.57233
        0.67000        18.12815        18.21533        18.09007        17.98121        18.41125        16.92464       -23.72722       -24.59857
        0.68000        18.13621        18.22339        18.09543        17.98781        18.41797        16.93138       -23.75326       -24.62461
        0.69000        18.14392        18.23121        18.10049        17.99408        18.42438        16.93779       -23.77910       -24.65045
        0.70000        18.15128        18.23879        18.10528        17.99999        18.43049        16.94389       -23.80475       -24.67610
        0.71000        18.15833        18.24614        18.10984        18.00557        18.43632        16.94968       -23.83021       -24.70155
        0.72000        18.16507        18.25326        18.11416        18.01083        18.44189        16.95519       -23.85546       -24.72681
        0.73000        18.17153        18.26018        18.11828        18.01579        18.44720        16.96043       -23.88051       -24.75186
        0.74000        18.17772        18.26688        18.12219        18.02047        18.45227        16.96543       -23.90537       -24.77672
        0.75000        18.18364        18.27338        18.12590        18.02490        18.45711        16.97019       -23.93002       -24.80137
        0.76000        18.18931        18.27970        18.12941        18.02908        18.46173        16.97473       -23.95447       -24.82582
        0.77000        18.19474        18.28585        18.13274        18.03306        18.46614        16.97906       -23.97872       -24.85007
        0.78000        18.19992        18.29182        18.13587        18.03683        18.47036        16.98319       -24.00277       -24.87412
        0.79000        18.20488        18.29764        18.13883        18.04042        18.47439        16.98713       -24.02661       -24.89796
        0.80000        18.20962        18.30332        18.14162        18.04383        18.47826        16.99090       -24.05025       -24.92160
        0.81000        18.21415        18.30885        18.14425        18.04708        18.48196        16.99451       -24.07369       -24.94503
        0.82000        18.21849        18.31426        18.14673        18.05016        18.48550        16.99796       -24.09691       -24.96826
        0.83000        18.22264        18.31955        18.14908        18.05309        18.48890        17.00126       -24.11994       -24.99129
        0.84000        18.22661        18.32472        18.15133        18.05585        18.49215        17.00443       -24.14276       -25.01411
        0.85000        18.23042        18.32979        18.15347        18.05848        18.49528        17.00747       -24.16537       -25.03672
        0.86000        18.23409        18.33476        18.15552        18.06097        18.49828        17.01039       -24.18778       -25.05913
        0.87000        18.23761        18.33964        18.15750        18.06329        18.50116        17.01319       -24.20998       -25.08133
        0.88000        18.24102        18.34444        18.15942        18.06547        18.50395        17.01588       -24.23198       -25.10333
        0.89000        18.24431        18.34916        18.16127        18.06750        18.50663        17.01847       -24.25377       -25.12512
        0.90000        18.24750        18.35381        18.16308        18.06940        18.50923        17.02098       -24.27536       -25.14671
        0.91000        18.25061        18.35837        18.16484        18.07117        18.51173        17.02339       -24.29674       -25.16809
        0.92000        18.25364        18.36287        18.16657        18.07283        18.51416        17.02573       -24.31791       -25.18926
        0.93000        18.25659        18.36729        18.16828        18.07437        18.51650        17.02799       -24.33888       -25.21023
        0.94000        18.25948        18.37164        18.16998        18.07580        18.51877        17.03018       -24.35964       -25.23099
        0.95000        18.26232        18.37591        18.17167        18.07711        18.52098        17.03232       -24.38020       -25.25155
        0.96000        18.26510        18.38012        18.17337        18.07834        18.52313        17.03439       -24.40055       -25.27190
        0.97000        18.26784        18.38425        18.17509        18.07948        18.52521        17.03641       -24.42070       -25.29205
        0.98000        18.27053        18.38831        18.17682        18.08056        18.52721        17.03838       -24.44064       -25.31199
        0.99000        18.27317        18.39229        18.17858        18.08158        18.52912        17.04031       -24.46038       -25.33173
        1.00000        18.27578        18.39621        18.18037        18.08255        18.53094        17.04220       -24.47992       -25.35127
        1.01000        18.27834        18.40006        18.18220        18.08350        18.53264        17.04406       -24.49925       -25.37060
        1.02000        18.28085        18.40385        18.18408        18.08442        18.53424        17.04590       -24.51838       -25.38973
        1.03000        18.28334        18.40757        18.18601        18.08535        18.53573        17.04770       -24.53730       -25.40865
        1.04000        18.28578        18.41123        18.18801        18.08626        18.53712        17.04949       -24.55603       -25.42738
        1.05000        18.28820        18.41484        18.19007        18.08714        18.53843        17.05126       -24.57455       -25.44590
        1.06000        18.29060        18.41839        18.19220        18.08801        18.53967        17.05301       -24.59287       -25.46422
        1.07000        18.29298        18.42189        18.19441        18.08886        18.54085        17.05476       -24.61099       -25.48233
        1.08000        18.29535        18.42534        18.19669        18.08968        18.54200        17.05650       -24.62890       -25.50025
        1.09000        18.29773        18.42874        18.19904        18.09049        18.54312        17.05823       -24.64662       -25.51797
        1.10000        18.30010        18.43212        18.20146        18.09128        18.54422        17.05997       -24.66414       -25.53549
        1.11000        18.30250        18.43546        18.20393        18.09207        18.54533        17.06171       -24.68146       -25.55281
        1.12000        18.30491        18.43877        18.20647        18.09286        18.54644        17.06346       -24.69858       -25.56993
        1.13000        18.30735        18.44207        18.20905        18.09366        18.54756        17.06521       -24.71551       -25.58685
        1.14000        18.30982        18.44535        18.21169        18.09447        18.54870        17.06698       -24.73223       -25.60358
        1.15000        18.31232        18.44862        18.21437        18.09530        18.54985        17.06876       -24.74876       -25.62011
        1.16000        18.31486        18.45189        18.21710        18.09617        18.55101        17.07056       -24.76509       -25.63644
        1.17000        18.31744        18.45515        18.21987        18.09707        18.55217        17.07238       -24.78123       -25.65258
        1.18000        18.32004        18.45841        18.22268        18.09801        18.55333        17.07422       -24.79717       -25.66852
        1.19000        18.32269        18.46166        18.22555        18.09902        18.55448        17.07609       -24.81292       -25.68427
        1.20000        18.32536        18.46492        18.22848        18.10007        18.55561        17.07798       -24.82848       -25.69982
        1.21000        18.32807        18.46818        18.23146        18.10120        18.55671        17.07990       -24.84384       -25.71519
        1.22000        18.33080        18.47143        18.23452        18.10239        18.55780        17.08185       -24.85901       -25.73036
        1.23000        18.33357        18.47469        18.23763        18.10365        18.55889        17.08382       -24.87398       -25.74533
        1.24000        18.33638        18.47795        18.24083        18.10498        18.55999        17.08582       -24.88877       -25.76012
        1.25000        18.33922        18.48122        18.24409        18.10638        18.56111        17.08783       -24.90337       -25.77472
        1.26000        18.34211        18.48449        18.24744        18.10785        18.56227        17.08986       -24.91777       -25.78912
        1.27000        18.34504        18.48777        18.25087        18.10939        18.56348        17.09192       -24.93199       -25.80334
        1.28000        18.34802        18.49106        18.25439        18.11101        18.56472        17.09400       -24.94602       -25.81737
        1.29000        18.35106        18.49436        18.25798        18.11270        18.56600        17.09610       -24.95986       -25.83121
        1.30000        18.35416        18.49768        18.26166        18.11447        18.56732        17.09824       -24.97352       -25.84487
        1.31000        18.35733        18.50101        18.26542        18.11632        18.56867        17.10041       -24.98699       -25.85834
        1.32000        18.36057        18.50438        18.26927        18.11825        18.57006        17.10262       -25.00027       -25.87162
        1.33000        18.36390        18.50776        18.27319        18.12025        18.57147        17.10486       -25.01337       -25.88472
        1.34000        18.36730        18.51118        18.27719        18.12232        18.57291        17.10715       -25.02629       -25.89763
        1.35000        18.37080        18.51463        18.28127        18.12448        18.57437        17.10949       -25.03902       -25.91037
        1.36000        18.37437        18.51811        18.28543        18.12671        18.57584        17.11188       -25.05157       -25.92292
        1.37000        18.37804        18.52162        18.28967        18.12903        18.57732        17.11432       -25.06394       -25.93528
        1.38000        18.38180        18.52518        18.29398        18.13144        18.57881        17.11682       -25.07612       -25.94747
        1.39000        18.38564        18.52878        18.29836        18.13393        18.58031        17.11938       -25.08813       -25.95948
        1.40000        18.38957        18.53242        18.30281        18.13652        18.58183        17.12200       -25.09996       -25.97131
        1.41000        18.39358        18.53610        18.30733        18.13921        18.58335        17.12469       -25.11161       -25.98295
        1.42000        18.39768        18.53982        18.31192        18.14200        18.58489        17.12744       -25.12308       -25.99442
        1.43000        18.40186        18.54359        18.31657        18.14489        18.58646        17.13025       -25.13437       -26.00572
        1.44000        18.40613        18.54741        18.32128        18.14790        18.58805        17.13313       -25.14549       -26.01683
        1.45000        18.41047        18.55128        18.32605        18.15101        18.58969        17.13606       -25.15643       -26.02778
        1.46000        18.41490        18.55521        18.33089        18.15424        18.59138        17.13906       -25.16719       -26.03854
        1.47000        18.41940        18.55918        18.33578        18.15757        18.59315        17.14211       -25.17779       -26.04914
        1.48000        18.42399        18.56321        18.34073        18.16102        18.59499        17.14522       -25.18821       -26.05955
        1.49000        18.42865        18.56730        18.34574        18.16457        18.59693        17.14839       -25.19845       -26.06980
        1.50000        18.43339        18.57145        18.35081        18.16823        18.59898        17.15162       -25.20853       -26.07987
        1.51000        18.43822        18.57566        18.35593        18.17199        18.60113        17.15492       -25.21843       -26.08978
        1.52000        18.44312        18.57993        18.36111        18.17586        18.60339        17.15828       -25.22816       -26.09951
        1.53000        18.44811        18.58426        18.36634        18.17983        18.60577        17.16170       -25.23773       -26.10907
        1.54000        18.45319        18.58866        18.37162        18.18390        18.60827        17.16518       -25.24712       -26.11847
        1.55000        18.45835        18.59312        18.37695        18.18809        18.61090        17.16873       -25.25635       -26.12769
        1.56000        18.46359        18.59764        18.38233        18.19238        18.61365        17.17235       -25.26541       -26.13675
        1.57000        18.46892        18.60224        18.38775        18.19679        18.61652        17.17603       -25.27430       -26.14565
        1.58000        18.47434        18.60689        18.39322        18.20132        18.61952        17.17976       -25.28303       -26.15437
        1.59000        18.47985        18.61162        18.39873        18.20596        18.62266        17.18357       -25.29159       -26.16293
        1.60000        18.48546        18.61641        18.40429        18.21071        18.62591        17.18743       -25.29998       -26.17133
        1.61000        18.49115        18.62127        18.40990        18.21558        18.62930        17.19137       -25.30822       -26.17957
        1.62000        18.49693        18.62620        18.41555        18.22057        18.63281        17.19537       -25.31629       -26.18764
        1.63000        18.50281        18.63121        18.42125        18.22567        18.63645        17.19943       -25.32420       -26.19555
        1.64000        18.50879        18.63628        18.42701        18.23087        18.64021        17.20357       -25.33195       -26.20329
        1.65000        18.51486        18.64144        18.43282        18.23618        18.64409        17.20777       -25.33953       -26.21088
        1.66000        18.52103        18.64666        18.43869        18.24159        18.64809        17.21204       -25.34696       -26.21831
        1.67000        18.52729        18.65197        18.44461        18.24710        18.65222        17.21638       -25.35423       -26.22558
        1.68000        18.53366        18.65736        18.45059        18.25269        18.65646        17.22079       -25.36134       -26.23269
