#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.68000        19.16284        18.90510        18.88743        18.75613        18.57607        18.48743       -23.75326       -24.50572
        0.69000        19.17449        18.91457        18.89191        18.77847        18.57476        18.50563       -23.77910       -24.53157
        0.70000        19.18468        18.92399        18.89586        18.79812        18.57481        18.52243       -23.80475       -24.55722
        0.71000        19.19346        18.93335        18.89948        18.81438        18.57850        18.53808       -23.83021       -24.58267
        0.72000        19.20083        18.94259        18.90271        18.82796        18.58711        18.55189       -23.85546       -24.60792
        0.73000        19.20685        18.95167        18.90563        18.84046        18.59866        18.56334       -23.88051       -24.63298
        0.74000        19.21167        18.96057        18.90840        18.85355        18.61092        18.57423       -23.90537       -24.65783
        0.75000        19.21558        18.96922        18.91123        18.86768        18.62272        18.58447       -23.93002       -24.68249
        0.76000        19.21879        18.97758        18.91469        18.87811        18.63330        18.59538       -23.95447       -24.70694
        0.77000        19.22147        18.98563        18.91857        18.88589        18.64246        18.60510       -23.97872       -24.73119
        0.78000        19.22376        18.99340        18.92272        18.89505        18.65070        18.61505       -24.00277       -24.75523
        0.79000        19.22578        19.00092        18.92670        18.90497        18.65942        18.62549       -24.02661       -24.77908
        0.80000        19.22768        19.00828        18.93089        18.91451        18.66681        18.63663       -24.05025       -24.80272
        0.81000        19.22957        19.01550        18.93518        18.92316        18.67338        18.64719       -24.07369       -24.82615
        0.82000        19.23154        19.02271        18.93946        18.93152        18.68227        18.65390       -24.09691       -24.84938
        0.83000        19.23361        19.02998        18.94363        18.93863        18.69449        18.65538       -24.11994       -24.87240
        0.84000        19.23586        19.03733        18.94755        18.94519        18.70931        18.65274       -24.14276       -24.89522
        0.85000        19.23828        19.04474        18.95131        18.95228        18.72675        18.64916       -24.16537       -24.91784
        0.86000        19.24081        19.05219        18.95476        18.95923        18.74280        18.65108       -24.18778       -24.94025
        0.87000        19.24338        19.05966        18.95812        18.96533        18.75799        18.64920       -24.20998       -24.96245
        0.88000        19.24595        19.06718        18.96123        18.97141        18.77400        18.63874       -24.23198       -24.98445
        0.89000        19.24849        19.07473        18.96393        18.97767        18.79067        18.63172       -24.25377       -25.00624
        0.90000        19.25100        19.08233        18.96629        18.98371        18.80781        18.62108       -24.27536       -25.02782
        0.91000        19.25351        19.09006        18.96829        18.98891        18.82554        18.61983       -24.29674       -25.04920
        0.92000        19.25595        19.09819        18.96966        18.99276        18.84253        18.62480       -24.31791       -25.07038
        0.93000        19.25828        19.10705        18.97013        18.99456        18.85599        18.62789       -24.33888       -25.09134
        0.94000        19.26048        19.11670        18.96982        18.99517        18.86686        18.63363       -24.35964       -25.11211
        0.95000        19.26252        19.12690        18.96895        18.99633        18.87647        18.64286       -24.38020       -25.13266
        0.96000        19.26438        19.13736        18.96788        18.99737        18.88598        18.64978       -24.40055       -25.15302
        0.97000        19.26619        19.14796        18.96677        18.99871        18.89533        18.65715       -24.42070       -25.17316
        0.98000        19.26816        19.15856        18.96579        18.99834        18.90470        18.66376       -24.44064       -25.19311
        0.99000        19.27066        19.16903        18.96520        18.99790        18.91437        18.67048       -24.46038       -25.21285
        1.00000        19.27407        19.17918        18.96516        18.99757        18.92425        18.67903       -24.47992       -25.23238
        1.01000        19.27860        19.18861        18.96587        18.99760        18.93427        18.68834       -24.49925       -25.25171
        1.02000        19.28424        19.19703        18.96735        18.99764        18.94436        18.69748       -24.51838       -25.27084
        1.03000        19.29076        19.20432        18.96979        18.99718        18.95478        18.70666       -24.53730       -25.28977
        1.04000        19.29796        19.21057        18.97292        18.99776        18.96510        18.71764       -24.55603       -25.30849
        1.05000        19.30569        19.21607        18.97638        18.99634        18.97506        18.72927       -24.57455       -25.32701
        1.06000        19.31375        19.22099        18.98003        18.99502        18.98463        18.74224       -24.59287       -25.34533
        1.07000        19.32181        19.22544        18.98378        18.99464        18.99293        18.75575       -24.61099       -25.36345
        1.08000        19.32963        19.22954        18.98777        18.99466        18.99964        18.76869       -24.62890       -25.38137
        1.09000        19.33717        19.23339        18.99196        18.99509        19.00574        18.78033       -24.64662       -25.39909
        1.10000        19.34416        19.23707        18.99631        18.99574        19.01257        18.78963       -24.66414       -25.41661
        1.11000        19.35029        19.24066        19.00071        18.99609        19.02021        18.79729       -24.68146       -25.43393
