#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.44000        19.83436        19.73932        19.68598        19.43843        19.28259        18.81405       -21.28887       -22.67255
        0.45000        19.84572        19.73649        19.69455        19.43929        19.29992        18.81848       -21.33972       -22.72340
        0.46000        19.85459        19.73347        19.69930        19.44230        19.31480        18.82263       -21.38994       -22.77362
        0.47000        19.86088        19.73036        19.70257        19.44647        19.32788        18.82619       -21.43954       -22.82322
        0.48000        19.86570        19.72757        19.70533        19.45018        19.33943        18.83796       -21.48854       -22.87222
        0.49000        19.86971        19.72537        19.70795        19.45104        19.34918        18.85999       -21.53693       -22.92061
        0.50000        19.87328        19.72352        19.71045        19.45130        19.35840        18.88017       -21.58472       -22.96840
        0.51000        19.87670        19.72167        19.71277        19.45196        19.36720        18.90521       -21.63193       -23.01562
        0.52000        19.88020        19.71964        19.71467        19.46142        19.37502        18.93290       -21.67857       -23.06225
        0.53000        19.88392        19.71734        19.71581        19.45787        19.38168        18.96223       -21.72463       -23.10831
        0.54000        19.88782        19.71489        19.71575        19.46028        19.38651        18.99159       -21.77013       -23.15381
        0.55000        19.89183        19.71232        19.71472        19.46329        19.39065        19.01929       -21.81507       -23.19875
        0.56000        19.89586        19.70965        19.71342        19.47052        19.39514        19.04663       -21.85947       -23.24315
        0.57000        19.89990        19.70688        19.71241        19.47578        19.40001        19.07469       -21.90332       -23.28701
        0.58000        19.90397        19.70408        19.71169        19.46922        19.40518        19.10259       -21.94665       -23.33033
        0.59000        19.90803        19.70133        19.71001        19.46390        19.41025        19.12973       -21.98944       -23.37312
        0.60000        19.91195        19.69856        19.70726        19.46042        19.41406        19.15359       -22.03171       -23.41540
        0.61000        19.91567        19.69575        19.70389        19.45950        19.41516        19.17552       -22.07348       -23.45716
        0.62000        19.91915        19.69286        19.69934        19.46260        19.41282        19.19408       -22.11473       -23.49841
        0.63000        19.92240        19.68989        19.69324        19.46962        19.40793        19.20989       -22.15548       -23.53917
        0.64000        19.92541        19.68689        19.68619        19.47789        19.39934        19.22239       -22.19574       -23.57943
        0.65000        19.92817        19.68389        19.67891        19.48853        19.38867        19.23291       -22.23552       -23.61920
        0.66000        19.93054        19.68093        19.67170        19.50055        19.37524        19.24229       -22.27481       -23.65849
        0.67000        19.93226        19.67802        19.66474        19.51385        19.36041        19.25036       -22.31362       -23.69730
        0.68000        19.93301        19.67527        19.65761        19.52630        19.34624        19.25761       -22.35197       -23.73565
        0.69000        19.93263        19.67270        19.65005        19.53661        19.33290        19.26376       -22.38985       -23.77353
        0.70000        19.93104        19.67035        19.64223        19.54449        19.32118        19.26879       -22.42727       -23.81095
        0.71000        19.92831        19.66819        19.63432        19.54922        19.31335        19.27293       -22.46424       -23.84792
        0.72000        19.92441        19.66617        19.62629        19.55154        19.31069        19.27546       -22.50076       -23.88444
        0.73000        19.91940        19.66423        19.61818        19.55301        19.31121        19.27589       -22.53684       -23.92053
        0.74000        19.91343        19.66233        19.61016        19.55531        19.31268        19.27599       -22.57249       -23.95617
        0.75000        19.90678        19.66042        19.60243        19.55888        19.31392        19.27567       -22.60770       -23.99138
        0.76000        19.89965        19.65844        19.59555        19.55897        19.31416        19.27625       -22.64249       -24.02617
        0.77000        19.89221        19.65638        19.58932        19.55663        19.31321        19.27584       -22.67686       -24.06054
        0.78000        19.88460        19.65424        19.58355        19.55589        19.31154        19.27589       -22.71081       -24.09449
        0.79000        19.87692        19.65207        19.57784        19.55611        19.31056        19.27663       -22.74435       -24.12803
        0.80000        19.86933        19.64992        19.57253        19.55616        19.30846        19.27828       -22.77749       -24.16117
        0.81000        19.86192        19.64785        19.56753        19.55551        19.30572        19.27954       -22.81022       -24.19390
        0.82000        19.85477        19.64595        19.56270        19.55475        19.30550        19.27713       -22.84256       -24.22624
        0.83000        19.84793        19.64429        19.55794        19.55295        19.30881        19.26970       -22.87450       -24.25818
        0.84000        19.84144        19.64291        19.55313        19.55077        19.31488        19.25832       -22.90606       -24.28974
        0.85000        19.83530        19.64176        19.54832        19.54930        19.32376        19.24617       -22.93724       -24.32092
        0.86000        19.82944        19.64081        19.54339        19.54785        19.33143        19.23970       -22.96803       -24.35172
        0.87000        19.82379        19.64007        19.53852        19.54573        19.33840        19.22961       -22.99846       -24.38214
        0.88000        19.81830        19.63953        19.53358        19.54376        19.34635        19.21109       -23.02851       -24.41219
        0.89000        19.81294        19.63918        19.52838        19.54213        19.35512        19.19618       -23.05820       -24.44188
        0.90000        19.80772        19.63904        19.52301        19.54042        19.36452        19.17779       -23.08753       -24.47121
        0.91000        19.80263        19.63918        19.51741        19.53803        19.37466        19.16895       -23.11650       -24.50018
        0.92000        19.79763        19.63986        19.51133        19.53444        19.38421        19.16648       -23.14511       -24.52879
        0.93000        19.79266        19.64143        19.50451        19.52894        19.39037        19.16227       -23.17338       -24.55706
        0.94000        19.78770        19.64392        19.49704        19.52239        19.39408        19.16085       -23.20130       -24.58499
        0.95000        19.78271        19.64709        19.48914        19.51653        19.39667        19.16306       -23.22889       -24.61257
        0.96000        19.77768        19.65067        19.48118        19.51068        19.39928        19.16308       -23.25613       -24.63981
        0.97000        19.77273        19.65450        19.47331        19.50526        19.40188        19.16369       -23.28304       -24.66672
        0.98000        19.76806        19.65847        19.46570        19.49825        19.40460        19.16366       -23.30962       -24.69330
        0.99000        19.76405        19.66242        19.45859        19.49129        19.40776        19.16387       -23.33587       -24.71955
        1.00000        19.76106        19.66617        19.45215        19.48457        19.41124        19.16602       -23.36180       -24.74549
        1.01000        19.75932        19.66932        19.44659        19.47832        19.41499        19.16906       -23.38742       -24.77110
        1.02000        19.75878        19.67158        19.44190        19.47219        19.41890        19.17202       -23.41271       -24.79639
        1.03000        19.75924        19.67280        19.43828        19.46566        19.42327        19.17515       -23.43770       -24.82138
        1.04000        19.76049        19.67310        19.43545        19.46029        19.42763        19.18018       -23.46237       -24.84605
        1.05000        19.76237        19.67276        19.43306        19.45303        19.43174        19.18596       -23.48674       -24.87042
        1.06000        19.76469        19.67192        19.43097        19.44595        19.43557        19.19318       -23.51081       -24.89449
        1.07000        19.76709        19.67073        19.42907        19.43993        19.43822        19.20104       -23.53458       -24.91826
        1.08000        19.76937        19.66927        19.42750        19.43439        19.43937        19.20842       -23.55805       -24.94173
        1.09000        19.77144        19.66766        19.42623        19.42936        19.44001        19.21460       -23.58123       -24.96492
        1.10000        19.77306        19.66596        19.42520        19.42464        19.44146        19.21852       -23.60413       -24.98781
        1.11000        19.77390        19.66427        19.42432        19.41970        19.44382        19.22090       -23.62673       -25.01041
        1.12000        19.77360        19.66264        19.42353        19.41466        19.44650        19.22250       -23.64905       -25.03273
        1.13000        19.77203        19.66112        19.42288        19.40947        19.44912        19.22511       -23.67110       -25.05478
        1.14000        19.76927        19.65977        19.42229        19.40409        19.45134        19.23072       -23.69286       -25.07654
        1.15000        19.76548        19.65862        19.42175        19.39907        19.45224        19.23719       -23.71435       -25.09803
        1.16000        19.76110        19.65774        19.42118        19.39466        19.45109        19.24324       -23.73557       -25.11925
        1.17000        19.75651        19.65722        19.42055        19.39102        19.44835        19.24966       -23.75652       -25.14020
        1.18000        19.75199        19.65712        19.41988        19.38771        19.44462        19.25702       -23.77721       -25.16089
        1.19000        19.74762        19.65743        19.41916        19.38467        19.44042        19.26385       -23.79763       -25.18131
        1.20000        19.74346        19.65807        19.41830        19.38187        19.43543        19.27041       -23.81779       -25.20147
        1.21000        19.73954        19.65896        19.41718        19.37959        19.43037        19.27578       -23.83770       -25.22138
        1.22000        19.73590        19.66005        19.41589        19.37839        19.42565        19.28016       -23.85735       -25.24103
        1.23000        19.73253        19.66132        19.41456        19.37683        19.42168        19.28452       -23.87675       -25.26043
        1.24000        19.72943        19.66271        19.41322        19.37503        19.41826        19.28854       -23.89590       -25.27958
