#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.68000        19.92266        19.66491        19.64725        19.51595        19.33588        19.24725       -22.36232       -23.74600
        0.69000        19.92167        19.66175        19.63909        19.52565        19.32195        19.25281       -22.40080       -23.78448
        0.70000        19.91948        19.65879        19.63067        19.53293        19.30962        19.25723       -22.43883       -23.82251
        0.71000        19.91614        19.65602        19.62216        19.53705        19.30118        19.26076       -22.47641       -23.86009
        0.72000        19.91163        19.65338        19.61351        19.53876        19.29791        19.26268       -22.51354       -23.89723
        0.73000        19.90600        19.65083        19.60478        19.53961        19.29781        19.26249       -22.55024       -23.93392
        0.74000        19.89941        19.64831        19.59614        19.54129        19.29866        19.26197       -22.58651       -23.97019
        0.75000        19.89213        19.64577        19.58779        19.54424        19.29928        19.26102       -22.62235       -24.00603
        0.76000        19.88437        19.64317        19.58028        19.54370        19.29889        19.26097       -22.65777       -24.04145
        0.77000        19.87631        19.64047        19.57341        19.54072        19.29730        19.25993       -22.69277       -24.07645
        0.78000        19.86805        19.63769        19.56701        19.53935        19.29500        19.25934       -22.72736       -24.11104
        0.79000        19.85974        19.63488        19.56065        19.53892        19.29338        19.25945       -22.76154       -24.14522
        0.80000        19.85150        19.63209        19.55470        19.53833        19.29062        19.26045       -22.79532       -24.17900
        0.81000        19.84344        19.62937        19.54905        19.53703        19.28724        19.26106       -22.82870       -24.21238
        0.82000        19.83564        19.62682        19.54357        19.53562        19.28637        19.25801       -22.86169       -24.24537
        0.83000        19.82814        19.62451        19.53816        19.53316        19.28902        19.24991       -22.89429       -24.27797
        0.84000        19.82100        19.62247        19.53269        19.53032        19.29444        19.23788       -22.92651       -24.31019
        0.85000        19.81419        19.62065        19.52722        19.52819        19.30266        19.22507       -22.95834       -24.34202
        0.86000        19.80767        19.61904        19.52161        19.52608        19.30965        19.21793       -22.98981       -24.37349
        0.87000        19.80135        19.61763        19.51608        19.52329        19.31596        19.20717       -23.02090       -24.40458
        0.88000        19.79519        19.61641        19.51046        19.52065        19.32324        19.18798       -23.05162       -24.43531
        0.89000        19.78915        19.61539        19.50460        19.51834        19.33133        19.17239       -23.08199       -24.46567
        0.90000        19.78325        19.61457        19.49854        19.51595        19.34005        19.15333       -23.11199       -24.49567
        0.91000        19.77748        19.61403        19.49226        19.51288        19.34951        19.14381       -23.14164       -24.52533
        0.92000        19.77179        19.61403        19.48550        19.50860        19.35838        19.14064       -23.17095       -24.55463
        0.93000        19.76614        19.61491        19.47799        19.50242        19.36385        19.13575       -23.19990       -24.58358
        0.94000        19.76049        19.61671        19.46983        19.49518        19.36687        19.13363       -23.22852       -24.61220
        0.95000        19.75481        19.61919        19.46124        19.48862        19.36876        19.13515       -23.25679       -24.64047
        0.96000        19.74908        19.62207        19.45258        19.48208        19.37068        19.13448       -23.28473       -24.66841
        0.97000        19.74343        19.62520        19.44401        19.47595        19.37257        19.13439       -23.31234       -24.69602
        0.98000        19.73806        19.62846        19.43569        19.46824        19.37460        19.13366       -23.33962       -24.72330
        0.99000        19.73334        19.63171        19.42788        19.46058        19.37705        19.13316       -23.36658       -24.75026
        1.00000        19.72964        19.63475        19.42073        19.45315        19.37982        19.13461       -23.39322       -24.77690
        1.01000        19.72719        19.63719        19.41446        19.44619        19.38286        19.13693       -23.41954       -24.80323
        1.02000        19.72594        19.63874        19.40906        19.43935        19.38606        19.13918       -23.44555       -24.82923
        1.03000        19.72569        19.63925        19.40472        19.43211        19.38971        19.14159       -23.47125       -24.85493
        1.04000        19.72622        19.63883        19.40118        19.42602        19.39336        19.14590       -23.49665       -24.88033
        1.05000        19.72738        19.63776        19.39807        19.41803        19.39675        19.15096       -23.52174       -24.90542
        1.06000        19.72897        19.63621        19.39525        19.41024        19.39985        19.15746       -23.54653       -24.93021
        1.07000        19.73065        19.63429        19.39263        19.40348        19.40177        19.16459       -23.57102       -24.95470
        1.08000        19.73220        19.63210        19.39033        19.39722        19.40220        19.17125       -23.59522       -24.97891
        1.09000        19.73353        19.62975        19.38833        19.39146        19.40211        19.17670       -23.61914       -25.00282
        1.10000        19.73442        19.62733        19.38657        19.38600        19.40283        19.17989       -23.64276       -25.02644
        1.11000        19.73453        19.62490        19.38495        19.38033        19.40445        19.18153       -23.66610       -25.04978
        1.12000        19.73350        19.62253        19.38343        19.37456        19.40640        19.18240       -23.68916       -25.07284
        1.13000        19.73119        19.62028        19.38203        19.36862        19.40828        19.18426       -23.71194       -25.09562
        1.14000        19.72768        19.61818        19.38070        19.36250        19.40975        19.18913       -23.73445       -25.11813
        1.15000        19.72315        19.61629        19.37942        19.35674        19.40991        19.19485       -23.75668       -25.14036
        1.16000        19.71803        19.61467        19.37810        19.35159        19.40802        19.20017       -23.77865       -25.16233
        1.17000        19.71268        19.61340        19.37672        19.34720        19.40452        19.20584       -23.80035       -25.18403
        1.18000        19.70742        19.61255        19.37531        19.34314        19.40005        19.21245       -23.82178       -25.20546
        1.19000        19.70229        19.61211        19.37384        19.33935        19.39510        19.21853       -23.84295       -25.22664
        1.20000        19.69738        19.61199        19.37222        19.33579        19.38935        19.22433       -23.86387       -25.24755
        1.21000        19.69271        19.61213        19.37035        19.33276        19.38353        19.22895       -23.88453       -25.26821
        1.22000        19.68831        19.61246        19.36831        19.33080        19.37806        19.23257       -23.90494       -25.28862
        1.23000        19.68418        19.61297        19.36621        19.32848        19.37333        19.23617       -23.92509       -25.30878
        1.24000        19.68032        19.61360        19.36412        19.32592        19.36915        19.23943       -23.94500       -25.32869
        1.25000        19.67671        19.61432        19.36187        19.32389        19.36527        19.24274       -23.96467       -25.34835
        1.26000        19.67330        19.61505        19.35956        19.32235        19.36161        19.24675       -23.98409       -25.36777
        1.27000        19.67009        19.61579        19.35745        19.32117        19.35781        19.25162       -24.00327       -25.38695
        1.28000        19.66706        19.61652        19.35573        19.31995        19.35355        19.25674       -24.02222       -25.40590
        1.29000        19.66417        19.61725        19.35447        19.31844        19.34905        19.26148       -24.04092       -25.42460
        1.30000        19.66141        19.61798        19.35367        19.31706        19.34456        19.26597       -24.05940       -25.44308
        1.31000        19.65879        19.61874        19.35328        19.31579        19.34011        19.26990       -24.07764       -25.46133
        1.32000        19.65632        19.61952        19.35322        19.31445        19.33582        19.27343       -24.09566       -25.47934
        1.33000        19.65401        19.62031        19.35352        19.31299        19.33139        19.27650       -24.11345       -25.49713
        1.34000        19.65186        19.62109        19.35410        19.31142        19.32687        19.27920       -24.13102       -25.51470
        1.35000        19.64987        19.62186        19.35492        19.31007        19.32260        19.28137       -24.14836       -25.53205
        1.36000        19.64812        19.62259        19.35592        19.30912        19.31831        19.28250       -24.16549       -25.54917
        1.37000        19.64665        19.62331        19.35723        19.30847        19.31409        19.28250       -24.18240       -25.56608
        1.38000        19.64555        19.62398        19.35888        19.30802        19.31027        19.28273       -24.19909       -25.58278
        1.39000        19.64488        19.62459        19.36090        19.30724        19.30679        19.28329       -24.21558       -25.59926
        1.40000        19.64469        19.62512        19.36337        19.30587        19.30369        19.28372       -24.23185       -25.61553
        1.41000        19.64502        19.62554        19.36654        19.30397        19.30073        19.28497       -24.24791       -25.63159
        1.42000        19.64588        19.62583        19.37075        19.30136        19.29742        19.28527       -24.26377       -25.64745
        1.43000        19.64729        19.62598        19.37634        19.29789        19.29428        19.28404       -24.27942       -25.66310
        1.44000        19.64936        19.62598        19.38332        19.29311        19.29186        19.28323       -24.29487       -25.67855
        1.45000        19.65233        19.62584        19.39147        19.28755        19.28989        19.28120       -24.31012       -25.69380
        1.46000        19.65647        19.62556        19.39986        19.28176        19.28835        19.27835       -24.32517       -25.70885
        1.47000        19.66189        19.62518        19.40787        19.27590        19.28688        19.27553       -24.34002       -25.72370
        1.48000        19.66874        19.62471        19.41597        19.27030        19.28564        19.27265       -24.35468       -25.73836
        1.49000        19.67690        19.62415        19.42425        19.26523        19.28435        19.26988       -24.36915       -25.75283
        1.50000        19.68606        19.62344        19.43235        19.26105        19.28302        19.26828       -24.38342       -25.76710
        1.51000        19.69598        19.62255        19.43976        19.25804        19.28126        19.26643       -24.39751       -25.78119
        1.52000        19.70650        19.62149        19.44627        19.25665        19.27927        19.26372       -24.41141       -25.79509
        1.53000        19.71748        19.62026        19.45188        19.25702        19.27724        19.26250       -24.42512       -25.80880
        1.54000        19.72882        19.61886        19.45681        19.25864        19.27537        19.26044       -24.43865       -25.82233
        1.55000        19.74045        19.61736        19.46133        19.26109        19.27375        19.25839       -24.45200       -25.83568
        1.56000        19.75229        19.61582        19.46553        19.26408        19.27235        19.25666       -24.46517       -25.84885
        1.57000        19.76419        19.61433        19.46949        19.26702        19.27111        19.25514       -24.47816       -25.86184
        1.58000        19.77590        19.61291        19.47323        19.26962        19.27000        19.25384       -24.49097       -25.87465
        1.59000        19.78707        19.61162        19.47684        19.27214        19.26917        19.25279       -24.50361       -25.88729
        1.60000        19.79737        19.61045        19.48044        19.27433        19.26882        19.25164       -24.51607       -25.89975
        1.61000        19.80623        19.60944        19.48404        19.27601        19.26909        19.25070       -24.52836       -25.91205
        1.62000        19.81316        19.60860        19.48767        19.27761        19.27005        19.24919       -24.54049       -25.92417
        1.63000        19.81789        19.60793        19.49131        19.27947        19.27155        19.24742       -24.55244       -25.93612
        1.64000        19.82004        19.60744        19.49502        19.28146        19.27350        19.24579       -24.56423       -25.94791
        1.65000        19.81975        19.60715        19.49889        19.28339        19.27618        19.24436       -24.57585       -25.95953
        1.66000        19.81750        19.60714        19.50292        19.28518        19.27944        19.24306       -24.58731       -25.97099
        1.67000        19.81371        19.60751        19.50714        19.28696        19.28327        19.24166       -24.59861       -25.98229
        1.68000        19.80872        19.60831        19.51151        19.28882        19.28738        19.24016       -24.60974       -25.99342
        1.69000        19.80286        19.60956        19.51605        19.29086        19.29153        19.23879       -24.62072       -26.00440
        1.70000        19.79653        19.61124        19.52074        19.29391        19.29554        19.23773       -24.63154       -26.01522
        1.71000        19.79006        19.61326        19.52559        19.29906        19.29944        19.23712       -24.64220       -26.02588
        1.72000        19.78394        19.61554        19.53060        19.30379        19.30316        19.23737       -24.65271       -26.03639
        1.73000        19.77831        19.61801        19.53580        19.30493        19.30647        19.23777       -24.66306       -26.04674
        1.74000        19.77349        19.62061        19.54117        19.30431        19.30935        19.23776       -24.67327       -26.05695
        1.75000        19.76963        19.62333        19.54667        19.30459        19.31180        19.23797       -24.68332       -26.06700
        1.76000        19.76669        19.62615        19.55225        19.30646        19.31403        19.23862       -24.69322       -26.07690
        1.77000        19.76482        19.62907        19.55784        19.30918        19.31623        19.23919       -24.70298       -26.08666
        1.78000        19.76375        19.63210        19.56343        19.31211        19.31857        19.23981       -24.71258       -26.09627
        1.79000        19.76333        19.63527        19.56895        19.31510        19.32110        19.24049       -24.72205       -26.10573
        1.80000        19.76361        19.63860        19.57435        19.31821        19.32380        19.24092       -24.73137       -26.11505
        1.81000        19.76447        19.64217        19.57960        19.32146        19.32669        19.24116       -24.74055       -26.12423
        1.82000        19.76593        19.64607        19.58458        19.32499        19.32966        19.24180       -24.74958       -26.13326
        1.83000        19.76796        19.65036        19.58916        19.32885        19.33261        19.24249       -24.75848       -26.14216
        1.84000        19.77045        19.65508        19.59331        19.33325        19.33545        19.24336       -24.76724       -26.15092
        1.85000        19.77335        19.66022        19.59691        19.33815        19.33800        19.24428       -24.77586       -26.15954
        1.86000        19.77666        19.66570        19.60011        19.34360        19.34002        19.24512       -24.78435       -26.16803
        1.87000        19.78025        19.67149        19.60300        19.35007        19.34101        19.24592       -24.79270       -26.17638
        1.88000        19.78404        19.67751        19.60565        19.35804        19.34056        19.24690       -24.80091       -26.18459
        1.89000        19.78790        19.68371        19.60811        19.36755        19.33872        19.24824       -24.80900       -26.19268
        1.90000        19.79177        19.69007        19.61042        19.37805        19.33598        19.24991       -24.81695       -26.20063
        1.91000        19.79562        19.69656        19.61267        19.38896        19.33284        19.25203       -24.82478       -26.20846
        1.92000        19.79947        19.70316        19.61493        19.39977        19.32940        19.25454       -24.83247       -26.21615
        1.93000        19.80331        19.70979        19.61728        19.41047        19.32569        19.25719       -24.84004       -26.22372
        1.94000        19.80720        19.71640        19.61984        19.42116        19.32191        19.26005       -24.84748       -26.23116
        1.95000        19.81116        19.72289        19.62272        19.43165        19.31833        19.26336       -24.85479       -26.23848
        1.96000        19.81524        19.72923        19.62594        19.44159        19.31555        19.26733       -24.86199       -26.24567
        1.97000        19.81948        19.73540        19.62951        19.45069        19.31399        19.27181       -24.86905       -26.25274
