#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.68000        20.06437        19.80663        19.78896        19.65766        19.47760        19.38896       -22.78966       -23.54212
        0.69000        20.06408        19.80415        19.78150        19.66806        19.46435        19.39522       -22.82754       -23.58000
        0.70000        20.06259        19.80190        19.77377        19.67603        19.45272        19.40034       -22.86496       -23.61743
        0.71000        20.05995        19.79983        19.76596        19.68086        19.44499        19.40456       -22.90193       -23.65440
        0.72000        20.05614        19.79790        19.75802        19.68327        19.44242        19.40720       -22.93846       -23.69092
        0.73000        20.05122        19.79605        19.75000        19.68484        19.44303        19.40771       -22.97454       -23.72700
        0.74000        20.04534        19.79424        19.74207        19.68723        19.44459        19.40790       -23.01018       -23.76265
        0.75000        20.03878        19.79242        19.73443        19.69089        19.44593        19.40767       -23.04540       -23.79786
        0.76000        20.03174        19.79053        19.72765        19.69107        19.44626        19.40834       -23.08018       -23.83265
        0.77000        20.02439        19.78856        19.72150        19.68881        19.44539        19.40802       -23.11455       -23.86702
        0.78000        20.01687        19.78650        19.71582        19.68816        19.44381        19.40816       -23.14850       -23.90097
        0.79000        20.00928        19.78442        19.71019        19.68846        19.44292        19.40899       -23.18205       -23.93451
        0.80000        20.00177        19.78236        19.70497        19.68860        19.44090        19.41072       -23.21518       -23.96764
        0.81000        19.99444        19.78037        19.70005        19.68804        19.43825        19.41207       -23.24791       -24.00038
        0.82000        19.98738        19.77856        19.69531        19.68737        19.43811        19.40975       -23.28025       -24.03272
        0.83000        19.98062        19.77699        19.69064        19.68564        19.44150        19.40239       -23.31220       -24.06466
        0.84000        19.97422        19.77569        19.68591        19.68355        19.44766        19.39110       -23.34376       -24.09622
        0.85000        19.96816        19.77462        19.68118        19.68216        19.45662        19.37903       -23.37493       -24.12740
        0.86000        19.96238        19.77376        19.67633        19.68080        19.46437        19.37265       -23.40573       -24.15819
        0.87000        19.95682        19.77309        19.67155        19.67876        19.47142        19.36263       -23.43615       -24.18862
        0.88000        19.95140        19.77263        19.66668        19.67687        19.47945        19.34419       -23.46621       -24.21867
        0.89000        19.94612        19.77236        19.66157        19.67531        19.48830        19.32936       -23.49589       -24.24836
        0.90000        19.94098        19.77230        19.65627        19.67368        19.49778        19.31106       -23.52522       -24.27769
        0.91000        19.93597        19.77252        19.65075        19.67137        19.50800        19.30230       -23.55419       -24.30666
        0.92000        19.93104        19.77328        19.64475        19.66785        19.51763        19.29989       -23.58281       -24.33527
        0.93000        19.92616        19.77492        19.63801        19.66244        19.52387        19.29576       -23.61108       -24.36354
        0.94000        19.92127        19.77749        19.63061        19.65596        19.52765        19.29442       -23.63900       -24.39146
        0.95000        19.91636        19.78074        19.62279        19.65018        19.53031        19.29670       -23.66658       -24.41904
        0.96000        19.91140        19.78439        19.61490        19.64440        19.53300        19.29680       -23.69382       -24.44629
        0.97000        19.90653        19.78829        19.60711        19.63905        19.53567        19.29749       -23.72073       -24.47320
        0.98000        19.90193        19.79234        19.59957        19.63212        19.53847        19.29753       -23.74731       -24.49978
        0.99000        19.89799        19.79636        19.59253        19.62523        19.54170        19.29781       -23.77357       -24.52603
        1.00000        19.89507        19.80018        19.58616        19.61858        19.54525        19.30004       -23.79950       -24.55196
        1.01000        19.89340        19.80340        19.58067        19.61240        19.54907        19.30314       -23.82511       -24.57758
        1.02000        19.89294        19.80573        19.57605        19.60634        19.55306        19.30618       -23.85041       -24.60287
        1.03000        19.89347        19.80703        19.57250        19.59989        19.55750        19.30937       -23.87539       -24.62786
        1.04000        19.89479        19.80740        19.56975        19.59459        19.56193        19.31447       -23.90007       -24.65253
        1.05000        19.89674        19.80712        19.56743        19.58739        19.56611        19.32032       -23.92444       -24.67690
        1.06000        19.89912        19.80636        19.56540        19.58039        19.57000        19.32761       -23.94851       -24.70097
        1.07000        19.90159        19.80523        19.56357        19.57443        19.57272        19.33554       -23.97228       -24.72474
        1.08000        19.90393        19.80384        19.56207        19.56896        19.57394        19.34299       -23.99575       -24.74821
        1.09000        19.90607        19.80229        19.56086        19.56400        19.57464        19.34924       -24.01893       -24.77139
