#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_B	M_i
        0.68000        20.05402        19.79627        19.77861        19.64730        19.46724        19.37861       -22.80001       -23.55248
        0.69000        20.05312        19.79320        19.77054        19.65710        19.45340        19.38426       -22.83849       -23.59096
        0.70000        20.05103        19.79034        19.76221        19.66447        19.44116        19.38878       -22.87652       -23.62899
        0.71000        20.04778        19.78766        19.75379        19.66869        19.43282        19.39240       -22.91410       -23.66657
        0.72000        20.04336        19.78512        19.74524        19.67049        19.42964        19.39441       -22.95124       -23.70370
        0.73000        20.03782        19.78265        19.73660        19.67144        19.42963        19.39431       -22.98794       -23.74040
        0.74000        20.03132        19.78022        19.72805        19.67321        19.43057        19.39388       -23.02420       -23.77667
        0.75000        20.02414        19.77778        19.71979        19.67624        19.43128        19.39303       -23.06004       -23.81251
        0.76000        20.01647        19.77526        19.71237        19.67579        19.43098        19.39306       -23.09546       -23.84792
        0.77000        20.00849        19.77265        19.70559        19.67290        19.42948        19.39211       -23.13046       -23.88292
        0.78000        20.00032        19.76996        19.69928        19.67162        19.42726        19.39161       -23.16505       -23.91751
        0.79000        19.99209        19.76723        19.69301        19.67128        19.42573        19.39180       -23.19923       -23.95170
        0.80000        19.98394        19.76453        19.68714        19.67077        19.42307        19.39289       -23.23301       -23.98547
        0.81000        19.97597        19.76190        19.68158        19.66956        19.41977        19.39359       -23.26639       -24.01886
        0.82000        19.96825        19.75943        19.67618        19.66824        19.41898        19.39062       -23.29938       -24.05185
        0.83000        19.96084        19.75720        19.67085        19.66586        19.42172        19.38261       -23.33198       -24.08445
        0.84000        19.95377        19.75525        19.66546        19.66310        19.42722        19.37066       -23.36420       -24.11666
        0.85000        19.94705        19.75352        19.66008        19.66105        19.43552        19.35793       -23.39604       -24.14850
        0.86000        19.94061        19.75198        19.65456        19.65903        19.44260        19.35087       -23.42750       -24.17996
        0.87000        19.93437        19.75065        19.64911        19.65632        19.44898        19.34019       -23.45859       -24.21106
        0.88000        19.92829        19.74952        19.64357        19.65375        19.45634        19.32108       -23.48932       -24.24178
        0.89000        19.92233        19.74858        19.63778        19.65152        19.46451        19.30557       -23.51968       -24.27215
        0.90000        19.91651        19.74783        19.63180        19.64922        19.47331        19.28659       -23.54969       -24.30215
        0.91000        19.91082        19.74737        19.62560        19.64622        19.48285        19.27715       -23.57934       -24.33180
        0.92000        19.90521        19.74745        19.61892        19.64202        19.49180        19.27406       -23.60864       -24.36111
        0.93000        19.89963        19.74840        19.61149        19.63592        19.49735        19.26924       -23.63760       -24.39006
        0.94000        19.89406        19.75028        19.60340        19.62875        19.50044        19.26720       -23.66621       -24.41868
        0.95000        19.88845        19.75284        19.59488        19.62227        19.50241        19.26880       -23.69449       -24.44695
        0.96000        19.88280        19.75579        19.58630        19.61580        19.50440        19.26820       -23.72243       -24.47489
        0.97000        19.87723        19.75899        19.57781        19.60975        19.50637        19.26819       -23.75004       -24.50250
        0.98000        19.87192        19.76233        19.56956        19.60211        19.50847        19.26753       -23.77732       -24.52978
        0.99000        19.86728        19.76566        19.56182        19.59452        19.51100        19.26710       -23.80428       -24.55674
        1.00000        19.86366        19.76877        19.55475        19.58716        19.51384        19.26862       -23.83092       -24.58338
        1.01000        19.86127        19.77128        19.54854        19.58027        19.51694        19.27101       -23.85724       -24.60970
        1.02000        19.86010        19.77289        19.54321        19.57350        19.52022        19.27334       -23.88325       -24.63571
        1.03000        19.85991        19.77347        19.53895        19.56633        19.52394        19.27582       -23.90895       -24.66141
        1.04000        19.86052        19.77312        19.53547        19.56032        19.52765        19.28020       -23.93434       -24.68681
        1.05000        19.86174        19.77213        19.53243        19.55239        19.53111        19.28533       -23.95943       -24.71190
        1.06000        19.86340        19.77064        19.52968        19.54467        19.53428        19.29190       -23.98422       -24.73669
        1.07000        19.86515        19.76879        19.52713        19.53798        19.53627        19.29909       -24.00872       -24.76118
        1.08000        19.86676        19.76667        19.52489        19.53179        19.53677        19.30582       -24.03292       -24.78538
        1.09000        19.86817        19.76439        19.52296        19.52609        19.53674        19.31133       -24.05683       -24.80930
        1.10000        19.86912        19.76203        19.52127        19.52070        19.53753        19.31459       -24.08046       -24.83292
        1.11000        19.86930        19.75966        19.51972        19.51509        19.53921        19.31630       -24.10380       -24.85626
        1.12000        19.86833        19.75736        19.51826        19.50939        19.54123        19.31723       -24.12686       -24.87932
        1.13000        19.86608        19.75517        19.51693        19.50351        19.54317        19.31916       -24.14964       -24.90210
        1.14000        19.86264        19.75314        19.51566        19.49746        19.54471        19.32409       -24.17214       -24.92461
        1.15000        19.85817        19.75131        19.51444        19.49176        19.54493        19.32988       -24.19438       -24.94684
        1.16000        19.85311        19.74975        19.51318        19.48667        19.54310        19.33525       -24.21634       -24.96881
        1.17000        19.84783        19.74855        19.51187        19.48234        19.53967        19.34098       -24.23804       -24.99051
        1.18000        19.84262        19.74775        19.51052        19.47834        19.53526        19.34766       -24.25948       -25.01194
        1.19000        19.83756        19.74737        19.50911        19.47461        19.53036        19.35380       -24.28065       -25.03312
        1.20000        19.83271        19.74732        19.50755        19.47112        19.52468        19.35966       -24.30157       -25.05403
        1.21000        19.82809        19.74752        19.50574        19.46815        19.51892        19.36434       -24.32223       -25.07469
        1.22000        19.82375        19.74791        19.50375        19.46624        19.51351        19.36802       -24.34263       -25.09510
        1.23000        19.81969        19.74847        19.50172        19.46399        19.50884        19.37167       -24.36279       -25.11526
        1.24000        19.81588        19.74917        19.49968        19.46149        19.50471        19.37500       -24.38270       -25.13517
        1.25000        19.81233        19.74994        19.49749        19.45952        19.50089        19.37836       -24.40237       -25.15483
        1.26000        19.80898        19.75073        19.49524        19.45803        19.49729        19.38243       -24.42179       -25.17425
        1.27000        19.80583        19.75153        19.49319        19.45691        19.49354        19.38735       -24.44097       -25.19343
        1.28000        19.80285        19.75231        19.49152        19.45575        19.48935        19.39254       -24.45991       -25.21238
        1.29000        19.80001        19.75309        19.49032        19.45429        19.48490        19.39733       -24.47862       -25.23108
        1.30000        19.79731        19.75388        19.48957        19.45296        19.48046        19.40187       -24.49710       -25.24956
        1.31000        19.79474        19.75469        19.48923        19.45175        19.47607        19.40586       -24.51534       -25.26781
        1.32000        19.79233        19.75553        19.48923        19.45046        19.47183        19.40944       -24.53336       -25.28582
        1.33000        19.79007        19.75637        19.48958        19.44905        19.46746        19.41257       -24.55115       -25.30361
        1.34000        19.78797        19.75721        19.49022        19.44754        19.46299        19.41532       -24.56872       -25.32118
        1.35000        19.78604        19.75803        19.49109        19.44624        19.45877        19.41754       -24.58606       -25.33853
        1.36000        19.78434        19.75882        19.49214        19.44534        19.45453        19.41873       -24.60319       -25.35565
        1.37000        19.78293        19.75958        19.49350        19.44475        19.45036        19.41878       -24.62010       -25.37256
        1.38000        19.78188        19.76030        19.49521        19.44435        19.44660        19.41906       -24.63679       -25.38926
        1.39000        19.78126        19.76097        19.49728        19.44362        19.44317        19.41967       -24.65327       -25.40574
        1.40000        19.78112        19.76155        19.49980        19.44230        19.44012        19.42015       -24.66954       -25.42201
        1.41000        19.78150        19.76202        19.50302        19.44045        19.43721        19.42145       -24.68561       -25.43807
        1.42000        19.78241        19.76236        19.50728        19.43789        19.43395        19.42180       -24.70146       -25.45393
        1.43000        19.78387        19.76256        19.51292        19.43447        19.43086        19.42062       -24.71712       -25.46958
        1.44000        19.78599        19.76261        19.51995        19.42974        19.42849        19.41985       -24.73256       -25.48503
        1.45000        19.78900        19.76251        19.52815        19.42422        19.42656        19.41787       -24.74781       -25.50028
        1.46000        19.79319        19.76229        19.53658        19.41848        19.42507        19.41508       -24.76286       -25.51533
        1.47000        19.79866        19.76195        19.54464        19.41267        19.42365        19.41231       -24.77772       -25.53018
        1.48000        19.80556        19.76153        19.55279        19.40712        19.42246        19.40947       -24.79238       -25.54484
        1.49000        19.81376        19.76101        19.56111        19.40210        19.42122        19.40675       -24.80684       -25.55931
        1.50000        19.82297        19.76035        19.56926        19.39796        19.41994        19.40520       -24.82112       -25.57358
        1.51000        19.83294        19.75951        19.57672        19.39500        19.41822        19.40339       -24.83520       -25.58767
        1.52000        19.84351        19.75850        19.58328        19.39366        19.41628        19.40073       -24.84910       -25.60157
        1.53000        19.85453        19.75731        19.58893        19.39407        19.41429        19.39955       -24.86282       -25.61528
        1.54000        19.86591        19.75596        19.59390        19.39574        19.41246        19.39753       -24.87635       -25.62881
        1.55000        19.87759        19.75450        19.59847        19.39823        19.41088        19.39553       -24.88970       -25.64216
        1.56000        19.88947        19.75301        19.60271        19.40126        19.40954        19.39384       -24.90286       -25.65533
