# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 0.0530 0.2726 0.3944 -0.0941 0.0827 0.1677 0.2589 0.2676 3.3093 0.7964
0.2500 0.0169 0.2460 0.2195 0.2042 -0.0890 0.1213 0.2764 0.2515 3.4163 0.8391
0.3000 -0.0073 0.2082 0.0753 0.4595 -0.2487 0.1041 0.2816 0.2329 3.5000 0.8759
0.3500 -0.0146 0.1627 0.0481 0.4662 -0.2528 0.0675 0.2876 0.2220 3.5634 0.9092
0.4000 0.0407 0.0974 0.0660 0.3191 0.0621 -0.1357 0.2671 0.2280 3.6025 0.9383
0.4500 0.1322 0.0082 0.1442 0.0477 0.4487 -0.2226 0.1368 0.2487 3.6278 0.9617
0.5000 0.1753 -0.0249 0.1581 -0.0162 0.4569 -0.1382 0.0296 0.2661 3.6574 0.9771
0.5500 0.2052 -0.0424 0.1629 -0.0420 0.3250 0.0066 -0.0130 0.2713 3.6797 0.9908
0.6000 0.2414 -0.0451 0.1637 -0.0699 0.1748 0.1592 -0.0445 0.2676 3.7005 1.0048
0.6500 0.2750 -0.0288 0.1170 -0.0257 0.0486 0.2435 -0.0667 0.2672 3.7071 1.0208
0.7000 0.2905 -0.0046 0.0360 0.0978 -0.0678 0.2740 -0.0805 0.2619 3.7029 1.0382
0.7500 0.2697 0.0285 -0.0147 0.1269 -0.0811 0.2647 -0.0845 0.2410 3.6988 1.0577
0.8000 0.2347 0.0521 -0.0470 0.1556 -0.1035 0.2607 0.0304 0.0950 3.6979 1.0752
0.8500 0.2009 0.0691 -0.0612 0.1551 -0.0763 0.1584 0.1144 0.0390 3.7063 1.0924
0.9000 0.1689 0.0928 -0.0693 0.1148 0.0301 -0.0482 0.2410 0.0042 3.7047 1.1110
0.9500 0.1287 0.1381 -0.0734 0.0618 0.0817 -0.0658 0.2314 -0.0252 3.6941 1.1315
1.0000 0.0808 0.1997 -0.0780 0.0192 0.1079 -0.0593 0.2116 -0.0562 3.6747 1.1565
1.0500 0.0743 0.2277 -0.0646 -0.0317 0.1316 -0.0583 0.2036 -0.0713 3.6303 1.1941
1.1000 0.0940 0.2264 -0.0389 -0.0701 0.1214 -0.0278 0.1808 -0.0807 3.5968 1.2217
1.1500 0.0937 0.2193 -0.0123 -0.1016 0.1171 -0.0083 0.1619 -0.0902 3.5602 1.2493
1.2000 0.0714 0.2195 0.0035 -0.0954 0.0651 0.0379 0.1417 -0.1029 3.5183 1.2825
1.2500 0.0477 0.2307 0.0059 -0.0781 0.0229 0.0596 0.1337 -0.1074 3.4652 1.3118
1.3000 0.0279 0.2419 0.0038 -0.0592 -0.0202 0.0761 0.1281 -0.0759 3.3844 1.3353
1.3500 0.0117 0.2429 0.0136 -0.0371 -0.0592 0.0921 0.1268 0.0579 3.2113 1.3440
1.4000 0.0019 0.2352 0.0292 -0.0183 -0.0807 0.0947 0.0540 0.1434 3.1529 1.3542
1.4500 0.0079 0.2040 0.0817 -0.0236 -0.0846 0.0802 0.0193 0.2012 3.1179 1.3501
1.5000 0.0471 0.1553 0.1572 -0.0439 -0.0742 0.0467 0.0328 0.2144 3.0901 1.3431
1.5500 0.1146 0.1160 0.1893 -0.0324 -0.0697 0.0154 0.0592 0.2149 3.0667 1.3323
1.6000 0.1876 0.0875 0.1933 -0.0096 -0.0645 0.0083 0.0672 0.2125 3.0574 1.3103
1.6500 0.2163 0.0642 0.2017 -0.0068 -0.0459 -0.0123 0.0704 0.2110 3.0412 1.2978
1.7000 0.1797 0.0462 0.2116 -0.0154 -0.0188 -0.0385 0.0767 0.1946 3.0217 1.2878
1.7500 0.1229 0.0334 0.2252 -0.0189 -0.0034 -0.0440 0.0710 0.1878 3.0081 1.2687
1.8000 0.0832 0.0223 0.2382 -0.0153 0.0050 -0.0514 0.0644 0.1834 2.9892 1.2459
1.8500 0.0535 0.0235 0.2394 -0.0099 0.0157 -0.0648 0.0527 0.1660 2.9459 1.2411
1.9000 0.0240 0.0439 0.2091 0.0333 0.0059 -0.0689 0.0184 0.1383 2.8610 1.2566
1.9500 -0.0077 0.0701 0.1608 0.1122 -0.0291 -0.0593 0.0006 0.1321 2.8340 1.2394
2.0000 -0.0347 0.0864 0.1329 0.1607 -0.0583 -0.0429 -0.0171 0.1161 2.8173 1.2232
2.0500 -0.0506 0.0964 0.1194 0.1774 -0.0737 -0.0206 -0.0316 0.0263 2.8632 1.2025
2.1000 -0.0464 0.1054 0.1036 0.1854 -0.0713 -0.0100 -0.0362 -0.0475 2.9026 1.1753
2.1500 -0.0043 0.1123 0.0834 0.1910 -0.0590 -0.0082 -0.0406 -0.0412 2.8621 1.1516
2.2000 0.0919 0.1112 0.0652 0.1940 -0.0452 -0.0027 -0.0498 -0.0423 2.8448 1.1240
2.2500 0.2256 0.0980 0.0470 0.1933 -0.0090 -0.0133 -0.0706 -0.0287 2.8339 1.0978
2.3000 0.3732 0.0782 0.0331 0.1721 0.0798 -0.0624 -0.0732 -0.0240 2.8148 1.0719
2.3500 0.4895 0.0612 0.0226 0.1503 0.1389 -0.0794 -0.0726 -0.0223 2.7953 1.0464
2.4000 0.5463 0.0543 0.0107 0.1514 0.1553 -0.0620 -0.0898 -0.0175 2.7797 1.0232
2.4500 0.5658 0.0618 -0.0030 0.1594 0.1541 -0.0394 -0.1041 -0.0150 2.7711 1.0025
2.5000 0.5672 0.0850 -0.0194 0.1661 0.1419 -0.0204 -0.1058 -0.0052 2.7458 0.9944
2.5500 0.5577 0.1255 -0.0348 0.1631 0.1287 -0.0031 -0.0962 0.0012 2.7162 0.9876
2.6000 0.5501 0.1637 -0.0272 0.1388 0.1186 0.0162 -0.0847 -0.0008 2.7035 0.9734
2.6500 0.5587 0.1909 0.0015 0.0954 0.1175 0.0359 -0.0811 -0.0007 2.6932 0.9600
2.7000 0.5928 0.1999 0.0399 0.0483 0.1222 0.0520 -0.0701 -0.0070 2.6790 0.9503
2.7500 0.6521 0.2035 0.0673 0.0119 0.1303 0.0629 -0.0582 -0.0138 2.6600 0.9467
2.8000 0.7313 0.2075 0.0842 -0.0149 0.1433 0.0674 -0.0487 -0.0246 2.6457 0.9451
2.8500 0.8246 0.2147 0.0962 -0.0356 0.1537 0.0711 -0.0424 -0.0297 2.6316 0.9382
2.9000 0.9326 0.2293 0.1004 -0.0451 0.1563 0.0770 -0.0359 -0.0352 2.6157 0.9275
2.9500 1.0499 0.2510 0.0976 -0.0460 0.1564 0.0842 -0.0283 -0.0390 2.5934 0.9157
3.0000 1.1824 0.2750 0.0904 -0.0426 0.1544 0.0917 -0.0201 -0.0505 2.5795 0.9040
3.0500 1.3362 0.3000 0.0953 -0.0487 0.1441 0.1058 -0.0135 -0.0557 2.5818 0.8913
3.1000 1.5210 0.3233 0.1008 -0.0491 0.1245 0.1223 -0.0038 -0.0630 2.5859 0.8803
3.1500 1.7694 0.3452 0.1081 -0.0458 0.1004 0.1357 0.0167 -0.0907 2.5976 0.8707
3.2000 2.0983 0.3682 0.1140 -0.0352 0.0716 0.1491 0.0454 -0.1057 2.6067 0.8594
3.2500 2.5311 0.3914 0.1118 -0.0045 0.0332 0.1578 0.0631 -0.1046 2.6330 0.8321
3.3000 3.0919 0.4208 0.0987 0.0460 -0.0134 0.1607 0.0817 -0.1040 2.6723 0.7969
3.3500 3.8441 0.4619 0.0828 0.0971 -0.0553 0.1444 0.1110 -0.1022 2.6875 0.7862
3.4000 5.0538 0.5176 0.0816 0.1225 -0.0795 0.1227 0.1377 -0.0993 2.6978 0.7822
3.4500 7.1869 0.5974 0.0990 0.1186 -0.0867 0.1084 0.1529 -0.0972 2.7187 0.7698
3.5000 inf 0.7047 0.1214 0.0978 -0.0885 0.0995 0.1617 -0.0905 2.7374 0.7578
3.5500 inf 0.8242 0.1383 0.0803 -0.0899 0.0964 0.1644 -0.0828 2.7505 0.7465
3.6000 inf 0.9395 0.1419 0.0758 -0.0893 0.0945 0.1649 -0.0793 2.7574 0.7363
3.6500 inf 1.0283 0.1422 0.0810 -0.0864 0.0888 0.1684 -0.0777 2.7510 0.7230
3.7000 inf 1.0845 0.1525 0.0835 -0.0784 0.0798 0.1746 -0.0704 2.7365 0.7138
3.7500 inf 1.1309 0.1647 0.0826 -0.0607 0.0647 0.1807 -0.0615 2.7369 0.6941
3.8000 inf 1.1714 0.1806 0.0725 -0.0191 0.0347 0.1858 -0.0503 2.7496 0.6629
3.8500 inf 1.2063 0.2008 0.0535 0.0434 -0.0067 0.1908 -0.0407 2.7577 0.6403
3.9000 inf 1.2395 0.2214 0.0382 0.0963 -0.0360 0.1918 -0.0331 2.7631 0.6227
3.9500 inf 1.2698 0.2537 0.0250 0.1327 -0.0533 0.1871 -0.0244 2.7570 0.6027
4.0000 inf 1.3045 0.2982 0.0080 0.1537 -0.0550 0.1753 -0.0166 2.7664 0.5949
4.0500 inf 1.3424 0.3376 0.0025 0.1634 -0.0525 0.1703 0.0079 3.0245 0.7656
4.1000 inf 1.3821 0.3696 0.0066 0.1654 -0.0495 0.1655 0.0151 3.0351 0.7543
4.1500 inf 1.4286 0.3982 0.0151 0.1606 -0.0413 0.1594 0.0218 3.0033 0.7286
4.2000 inf 1.4795 0.4244 0.0341 0.1462 -0.0334 0.1574 0.0349 3.0624 0.7629
4.2500 inf 1.5373 0.4385 0.0780 0.1147 -0.0255 0.1533 0.0174 2.6981 0.3875
