# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
3.4500 7.4740 0.8275 0.2385 0.1752 0.0591 0.2502 0.4006 0.1997 3.5379 1.0042
3.5000 inf 0.9454 0.2805 0.1386 0.0507 0.2445 0.4134 0.2045 3.5670 1.0021
3.5500 inf 1.0814 0.3075 0.1140 0.0415 0.2432 0.4202 0.2102 3.5880 1.0008
3.6000 inf 1.2180 0.3107 0.1087 0.0337 0.2423 0.4239 0.2102 3.5992 0.9993
3.6500 inf 1.3204 0.3096 0.1140 0.0284 0.2374 0.4302 0.2063 3.5905 0.9953
3.7000 inf 1.3766 0.3240 0.1124 0.0302 0.2283 0.4391 0.2107 3.5770 0.9939
3.7500 inf 1.4207 0.3403 0.1069 0.0429 0.2122 0.4475 0.2177 3.5804 0.9839
3.8000 inf 1.4599 0.3585 0.0913 0.0855 0.1771 0.4553 0.2277 3.5963 0.9646
3.8500 inf 1.4943 0.3793 0.0687 0.1496 0.1300 0.4624 0.2365 3.6096 0.9507
3.9000 inf 1.5276 0.3948 0.0591 0.1941 0.1007 0.4666 0.2405 3.6171 0.9377
3.9500 inf 1.5586 0.4260 0.0541 0.2159 0.0829 0.4648 0.2450 3.6063 0.9230
4.0000 inf 1.5948 0.4692 0.0467 0.2205 0.0821 0.4543 0.2530 3.6267 0.9222
4.0500 inf 1.6341 0.5068 0.0551 0.2157 0.0803 0.4611 0.3410 4.0477 1.0582
4.1000 inf 1.6751 0.5338 0.0689 0.2098 0.0773 0.4583 0.3468 4.0431 1.0499
4.1500 inf 1.7228 0.5574 0.0866 0.1984 0.0789 0.4550 0.3485 4.0248 1.0401
4.2000 inf 1.7745 0.5785 0.1205 0.1738 0.0820 0.4556 0.3724 4.1009 1.0571
4.2500 inf 1.8375 0.5677 0.1926 0.1288 0.0845 0.4476 0.2690 3.4592 0.7369
4.3000 inf 1.9060 0.5617 0.2844 0.0714 0.0909 0.4450 0.2735 3.4088 0.6707
4.3500 inf 1.9766 0.5648 0.3695 0.0153 0.1020 0.4394 0.2911 3.4492 0.6915
4.4000 inf 2.0524 0.5862 0.4219 -0.0248 0.1154 0.4331 0.3023 3.4124 0.6670
4.4500 inf 2.1212 0.6354 0.4421 -0.0489 0.1321 0.4245 0.3237 3.3748 0.6561
4.5000 inf 2.1801 0.7203 0.4315 -0.0584 0.1426 0.4153 0.3430 3.3455 0.6385
4.5500 inf 2.2083 0.8533 0.4008 -0.0563 0.1467 0.4038 0.3594 3.3418 0.6289
4.6000 inf 2.1934 1.0473 0.3502 -0.0452 0.1467 0.3875 0.3792 3.3337 0.6207
4.6500 inf 2.1598 1.2741 0.2978 -0.0271 0.1424 0.3633 0.4055 3.3303 0.6200
4.7000 inf 2.1650 1.4662 0.2544 -0.0110 0.1424 0.3469 0.4203 3.3091 0.6380
4.7500 inf 2.2095 1.6216 0.2330 0.0064 0.1412 0.3326 0.4304 3.2652 0.6894
4.8000 inf 2.3400 1.6882 0.2420 0.0268 0.1373 0.3211 0.4371 3.1808 0.7403
4.8500 inf 2.5520 1.6862 0.2753 0.0524 0.1256 0.3121 0.4427 3.1471 0.7831
4.9000 inf 2.8498 1.6714 0.3000 0.1108 0.0903 0.3061 0.4479 3.1303 0.8098
4.9500 inf 3.2355 1.6589 0.3041 0.2073 0.0346 0.2993 0.4536 3.1320 0.8230
5.0000 inf 3.7242 1.6537 0.2929 0.3026 -0.0064 0.2906 0.4588 3.1363 0.8367
