# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 0.5965 0.2999 0.3799 0.2822 0.1279 0.2810 0.1675 0.3713 3.3355 0.7710
0.7500 0.5827 0.3197 0.3113 0.3326 0.1029 0.2951 0.1547 0.3770 3.3590 0.7830
0.8000 0.5553 0.3412 0.2438 0.3913 0.0548 0.3217 0.2177 0.2999 3.3885 0.7969
0.8500 0.5250 0.3545 0.1994 0.4104 0.0657 0.2592 0.2852 0.2688 3.4229 0.8123
0.9000 0.4904 0.3726 0.1757 0.3685 0.1647 0.1068 0.3863 0.2503 3.4510 0.8290
0.9500 0.4405 0.4164 0.1617 0.3006 0.2391 0.0830 0.3868 0.2297 3.4780 0.8472
1.0000 0.3769 0.4799 0.1434 0.2518 0.2833 0.0803 0.3819 0.2043 3.4968 0.8707
1.0500 0.3550 0.5133 0.1421 0.1977 0.3156 0.0784 0.3888 0.1910 3.4942 0.9041
1.1000 0.3548 0.5175 0.1654 0.1370 0.3152 0.1079 0.3813 0.1830 3.4998 0.9327
1.1500 0.3282 0.5160 0.1911 0.0861 0.3058 0.1375 0.3774 0.1719 3.5026 0.9629
1.2000 0.2802 0.5216 0.2055 0.0786 0.2472 0.1883 0.3748 0.1565 3.4972 1.0000
1.2500 0.2350 0.5369 0.2061 0.0837 0.2026 0.2108 0.3794 0.1503 3.4810 1.0344
1.3000 0.1960 0.5515 0.2025 0.0899 0.1625 0.2267 0.3822 0.1699 3.4459 1.0629
1.3500 0.1650 0.5546 0.2114 0.1110 0.1125 0.2555 0.3868 0.2617 3.3440 1.0782
1.4000 0.1462 0.5469 0.2259 0.1313 0.0725 0.2711 0.3294 0.3341 3.3169 1.0968
1.4500 0.1495 0.5125 0.2792 0.1302 0.0566 0.2642 0.3163 0.3847 3.3105 1.1003
1.5000 0.1964 0.4566 0.3556 0.1140 0.0598 0.2314 0.3473 0.3998 3.3077 1.1028
1.5500 0.2785 0.4078 0.3925 0.1229 0.0625 0.1975 0.3880 0.4100 3.3066 1.1005
1.6000 0.3698 0.3686 0.4021 0.1456 0.0647 0.1865 0.4089 0.4193 3.3172 1.0892
1.6500 0.4098 0.3331 0.4142 0.1489 0.0804 0.1553 0.4206 0.4285 3.3229 1.0868
1.7000 0.3764 0.3029 0.4278 0.1395 0.1032 0.1163 0.4276 0.4252 3.3276 1.0854
1.7500 0.3230 0.2773 0.4468 0.1341 0.1176 0.1009 0.4255 0.4343 3.3353 1.0752
1.8000 0.2877 0.2528 0.4654 0.1335 0.1285 0.0838 0.4206 0.4440 3.3357 1.0624
1.8500 0.2599 0.2423 0.4708 0.1344 0.1367 0.0618 0.3954 0.4365 3.3164 1.0636
1.9000 0.2290 0.2521 0.4436 0.1730 0.1213 0.0462 0.3340 0.4109 3.2615 1.0809
1.9500 0.1961 0.2669 0.3968 0.2535 0.0882 0.0499 0.3115 0.4096 3.2561 1.0708
2.0000 0.1699 0.2698 0.3707 0.3060 0.0588 0.0593 0.2900 0.4012 3.2585 1.0608
2.0500 0.1551 0.2684 0.3583 0.3275 0.0404 0.0763 0.2674 0.3234 3.3121 1.0482
