# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 0.4048 0.3807 0.3819 0.2057 0.3947 -0.0728 0.2817 0.2522 3.2614 0.8431
0.5000 0.4460 0.3158 0.4144 0.1651 0.4123 -0.0252 0.2149 0.2847 3.3075 0.8437
0.5500 0.4758 0.2707 0.4325 0.1426 0.3381 0.0752 0.1835 0.3080 3.3498 0.8421
0.6000 0.5150 0.2479 0.4405 0.1050 0.2564 0.1886 0.1563 0.3234 3.3882 0.8424
0.6500 0.5537 0.2504 0.3931 0.1388 0.1789 0.2512 0.1374 0.3415 3.4160 0.8462
0.7000 0.5749 0.2615 0.3128 0.2499 0.0902 0.2862 0.1204 0.3539 3.4314 0.8564
0.7500 0.5623 0.2867 0.2487 0.2955 0.0669 0.2962 0.1089 0.3546 3.4483 0.8703
0.8000 0.5352 0.3103 0.1909 0.3466 0.0244 0.3166 0.1828 0.2631 3.4708 0.8847
0.8500 0.5058 0.3259 0.1552 0.3603 0.0396 0.2441 0.2552 0.2265 3.4992 0.8999
0.9000 0.4728 0.3469 0.1365 0.3182 0.1413 0.0767 0.3646 0.2043 3.5205 0.9163
0.9500 0.4254 0.3928 0.1265 0.2538 0.2108 0.0536 0.3637 0.1815 3.5391 0.9343
1.0000 0.3646 0.4579 0.1134 0.2066 0.2504 0.0530 0.3561 0.1545 3.5493 0.9574
1.0500 0.3454 0.4920 0.1174 0.1535 0.2801 0.0521 0.3601 0.1405 3.5370 0.9912
1.1000 0.3499 0.4971 0.1423 0.0991 0.2768 0.0821 0.3496 0.1319 3.5340 1.0186
1.1500 0.3301 0.4963 0.1692 0.0539 0.2684 0.1095 0.3425 0.1209 3.5283 1.0473
1.2000 0.2883 0.5023 0.1849 0.0510 0.2114 0.1593 0.3359 0.1059 3.5151 1.0827
1.2500 0.2478 0.5182 0.1869 0.0603 0.1673 0.1817 0.3376 0.1000 3.4910 1.1151
1.3000 0.2128 0.5334 0.1846 0.0708 0.1264 0.1979 0.3385 0.1222 3.4459 1.1417
1.3500 0.1847 0.5373 0.1945 0.0930 0.0796 0.2238 0.3420 0.2242 3.3279 1.1540
1.4000 0.1674 0.5306 0.2100 0.1137 0.0452 0.2363 0.2796 0.3017 3.2938 1.1695
1.4500 0.1706 0.4975 0.2638 0.1124 0.0331 0.2274 0.2607 0.3559 3.2811 1.1696
1.5000 0.2150 0.4435 0.3410 0.0959 0.0390 0.1941 0.2881 0.3714 3.2729 1.1683
1.5500 0.2931 0.3974 0.3777 0.1061 0.0429 0.1606 0.3259 0.3801 3.2672 1.1626
1.6000 0.3801 0.3614 0.3868 0.1292 0.0465 0.1509 0.3439 0.3874 3.2739 1.1473
1.6500 0.4185 0.3293 0.3992 0.1329 0.0634 0.1227 0.3537 0.3947 3.2751 1.1416
1.7000 0.3860 0.3019 0.4131 0.1241 0.0878 0.0874 0.3604 0.3888 3.2748 1.1378
1.7500 0.3336 0.2788 0.4320 0.1196 0.1029 0.0749 0.3574 0.3945 3.2782 1.1248
1.8000 0.2986 0.2566 0.4504 0.1205 0.1136 0.0606 0.3523 0.4011 3.2748 1.1091
1.8500 0.2713 0.2478 0.4562 0.1232 0.1230 0.0413 0.3308 0.3912 3.2501 1.1092
1.9000 0.2413 0.2591 0.4297 0.1635 0.1099 0.0293 0.2760 0.3643 3.1875 1.1278
