# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 0.2938 0.5490 0.3473 0.2301 0.0161 0.1538 0.3020 0.2244 3.1886 0.7980
0.3000 0.2537 0.5111 0.2499 0.4408 -0.1208 0.1475 0.3193 0.2132 3.2756 0.8316
0.3500 0.2330 0.4688 0.2266 0.4672 -0.1347 0.1186 0.3400 0.2115 3.3430 0.8607
0.4000 0.2794 0.4014 0.2426 0.3708 0.1034 -0.0379 0.3339 0.2281 3.3887 0.8846
0.4500 0.3711 0.2974 0.3223 0.1657 0.4182 -0.1183 0.2422 0.2553 3.4230 0.9016
0.5000 0.4155 0.2455 0.3497 0.1179 0.4341 -0.0593 0.1630 0.2832 3.4617 0.9097
0.5500 0.4480 0.2117 0.3646 0.0944 0.3418 0.0564 0.1280 0.3011 3.4952 0.9158
0.6000 0.4889 0.1978 0.3715 0.0603 0.2379 0.1838 0.0995 0.3106 3.5259 0.9230
0.6500 0.5289 0.2071 0.3259 0.0975 0.1449 0.2547 0.0795 0.3232 3.5450 0.9329
0.7000 0.5516 0.2250 0.2465 0.2130 0.0476 0.2892 0.0635 0.3304 3.5526 0.9468
0.7500 0.5398 0.2552 0.1884 0.2534 0.0277 0.2939 0.0545 0.3247 3.5613 0.9634
0.8000 0.5128 0.2805 0.1407 0.2977 -0.0078 0.3070 0.1412 0.2167 3.5749 0.9791
0.8500 0.4839 0.2983 0.1136 0.3076 0.0114 0.2248 0.2186 0.1739 3.5958 0.9950
0.9000 0.4526 0.3221 0.0997 0.2672 0.1146 0.0437 0.3361 0.1477 3.6085 1.0120
0.9500 0.4080 0.3695 0.0932 0.2080 0.1781 0.0222 0.3339 0.1228 3.6164 1.0307
1.0000 0.3506 0.4356 0.0850 0.1636 0.2135 0.0239 0.3236 0.0946 3.6159 1.0541
1.0500 0.3346 0.4700 0.0939 0.1120 0.2419 0.0239 0.3245 0.0804 3.5918 1.0890
1.1000 0.3442 0.4756 0.1202 0.0642 0.2369 0.0541 0.3110 0.0716 3.5779 1.1159
1.1500 0.3321 0.4751 0.1481 0.0247 0.2307 0.0792 0.3008 0.0613 3.5615 1.1435
1.2000 0.2975 0.4812 0.1651 0.0256 0.1766 0.1279 0.2905 0.0473 3.5385 1.1775
1.2500 0.2626 0.4974 0.1685 0.0384 0.1341 0.1506 0.2895 0.0422 3.5045 1.2080
1.3000 0.2323 0.5131 0.1675 0.0525 0.0930 0.1677 0.2889 0.0677 3.4475 1.2328
1.3500 0.2077 0.5175 0.1784 0.0754 0.0498 0.1906 0.2916 0.1804 3.3114 1.2427
1.4000 0.1922 0.5118 0.1948 0.0963 0.0208 0.2005 0.2252 0.2627 3.2691 1.2552
1.4500 0.1952 0.4802 0.2489 0.0948 0.0121 0.1905 0.2006 0.3200 3.2484 1.2523
1.5000 0.2366 0.4283 0.3264 0.0784 0.0198 0.1579 0.2240 0.3357 3.2334 1.2475
1.5500 0.3099 0.3854 0.3624 0.0902 0.0243 0.1255 0.2589 0.3427 3.2215 1.2386
1.6000 0.3917 0.3531 0.3708 0.1138 0.0289 0.1174 0.2742 0.3475 3.2227 1.2195
1.6500 0.4281 0.3249 0.3831 0.1178 0.0468 0.0924 0.2828 0.3527 3.2184 1.2104
1.7000 0.3969 0.3008 0.3971 0.1096 0.0727 0.0606 0.2903 0.3443 3.2120 1.2039
1.7500 0.3459 0.2805 0.4155 0.1061 0.0884 0.0509 0.2873 0.3465 3.2099 1.1880
1.8000 0.3113 0.2610 0.4334 0.1088 0.0988 0.0393 0.2829 0.3501 3.2017 1.1691
1.8500 0.2847 0.2541 0.4395 0.1129 0.1096 0.0224 0.2659 0.3383 3.1714 1.1677
1.9000 0.2558 0.2671 0.4136 0.1545 0.0989 0.0136 0.2193 0.3116 3.1018 1.1867
1.9500 0.2236 0.2863 0.3678 0.2352 0.0666 0.0213 0.2006 0.3085 3.0864 1.1728
2.0000 0.1965 0.2952 0.3419 0.2871 0.0383 0.0350 0.1824 0.2970 3.0802 1.1596
2.0500 0.1807 0.2992 0.3300 0.3074 0.0220 0.0557 0.1651 0.2119 3.1329 1.1432
2.1000 0.1854 0.3040 0.3149 0.3187 0.0223 0.0685 0.1570 0.1411 3.1805 1.1205
2.1500 0.2304 0.3083 0.2944 0.3271 0.0327 0.0725 0.1473 0.1460 3.1519 1.1018
2.2000 0.3344 0.3059 0.2746 0.3329 0.0461 0.0795 0.1344 0.1469 3.1425 1.0795
