# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
3.2500 2.5715 0.3754 0.0523 -0.0129 0.0639 0.1858 0.1008 -0.0303 3.0231 0.9489
3.3000 3.1326 0.4045 0.0418 0.0369 0.0123 0.1889 0.1203 -0.0315 3.0602 0.9266
3.3500 3.8846 0.4457 0.0312 0.0832 -0.0332 0.1733 0.1507 -0.0315 3.0765 0.9244
3.4000 5.0935 0.4997 0.0446 0.0935 -0.0586 0.1522 0.1796 -0.0306 3.0903 0.9267
3.4500 7.2224 0.5806 0.0804 0.0713 -0.0676 0.1393 0.1962 -0.0293 3.1140 0.9207
3.5000 inf 0.6975 0.1142 0.0365 -0.0729 0.1318 0.2068 -0.0238 3.1359 0.9150
3.5500 inf 0.8296 0.1345 0.0124 -0.0783 0.1292 0.2113 -0.0174 3.1504 0.9101
3.6000 inf 0.9591 0.1342 0.0071 -0.0817 0.1273 0.2129 -0.0162 3.1554 0.9050
3.6500 inf 1.0561 0.1313 0.0127 -0.0824 0.1211 0.2177 -0.0180 3.1420 0.8967
3.7000 inf 1.1112 0.1445 0.0121 -0.0761 0.1107 0.2249 -0.0124 3.1226 0.8921
3.7500 inf 1.1556 0.1598 0.0076 -0.0587 0.0933 0.2319 -0.0047 3.1206 0.8777
3.8000 inf 1.1951 0.1777 -0.0067 -0.0121 0.0573 0.2380 0.0055 3.1320 0.8529
3.8500 inf 1.2297 0.1986 -0.0281 0.0553 0.0096 0.2435 0.0143 3.1397 0.8349
3.9000 inf 1.2637 0.2152 -0.0382 0.1035 -0.0197 0.2452 0.0199 3.1419 0.8188
3.9500 inf 1.2955 0.2469 -0.0447 0.1292 -0.0360 0.2405 0.0263 3.1277 0.8001
4.0000 inf 1.3326 0.2906 -0.0541 0.1377 -0.0339 0.2263 0.0338 3.1408 0.7969
4.0500 inf 1.3736 0.3269 -0.0489 0.1378 -0.0316 0.2253 0.0859 3.5296 0.9645
4.1000 inf 1.4156 0.3545 -0.0365 0.1330 -0.0314 0.2214 0.0916 3.5250 0.9526
4.1500 inf 1.4644 0.3785 -0.0199 0.1218 -0.0263 0.2167 0.0953 3.4967 0.9378
4.2000 inf 1.5177 0.3992 0.0123 0.0978 -0.0203 0.2159 0.1123 3.5684 0.9615
4.2500 inf 1.5783 0.3999 0.0779 0.0516 -0.0149 0.2077 0.0582 2.9911 0.5793
4.3000 inf 1.6468 0.3993 0.1630 -0.0051 -0.0058 0.2035 0.0657 2.9509 0.5093
4.3500 inf 1.7179 0.4061 0.2424 -0.0606 0.0077 0.1966 0.0807 2.9784 0.5290
4.4000 inf 1.7940 0.4303 0.2905 -0.1000 0.0230 0.1894 0.0932 2.9439 0.5035
4.4500 inf 1.8634 0.4804 0.3076 -0.1238 0.0416 0.1803 0.1164 2.9050 0.4928
4.5000 inf 1.9244 0.5652 0.2941 -0.1331 0.0540 0.1711 0.1366 2.8760 0.4754
4.5500 inf 1.9577 0.6964 0.2598 -0.1312 0.0603 0.1601 0.1516 2.8703 0.4658
4.6000 inf 1.9532 0.8839 0.2057 -0.1208 0.0623 0.1454 0.1688 2.8613 0.4581
4.6500 inf 1.9370 1.0966 0.1509 -0.1038 0.0599 0.1243 0.1912 2.8553 0.4579
4.7000 inf 1.9594 1.2734 0.1065 -0.0884 0.0614 0.1102 0.2028 2.8304 0.4783
4.7500 inf 2.0228 1.4109 0.0855 -0.0723 0.0617 0.0978 0.2102 2.7797 0.5334
4.8000 inf 2.1660 1.4653 0.0965 -0.0541 0.0593 0.0881 0.2152 2.6945 0.5888
4.8500 inf 2.3836 1.4576 0.1327 -0.0314 0.0492 0.0810 0.2187 2.6551 0.6339
4.9000 inf 2.6868 1.4382 0.1620 0.0221 0.0159 0.0768 0.2218 2.6341 0.6618
4.9500 inf 3.0776 1.4215 0.1723 0.1122 -0.0382 0.0723 0.2251 2.6312 0.6750
5.0000 inf 3.5711 1.4124 0.1684 0.2017 -0.0790 0.0663 0.2281 2.6309 0.6887
