# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 nan nan nan nan nan nan nan nan nan nan
0.7500 nan nan nan nan nan nan nan nan nan nan
0.8000 nan nan nan nan nan nan nan nan nan nan
0.8500 nan nan nan nan nan nan nan nan nan nan
0.9000 nan nan nan nan nan nan nan nan nan nan
0.9500 nan nan nan nan nan nan nan nan nan nan
1.0000 nan nan nan nan nan nan nan nan nan nan
1.0500 nan nan nan nan nan nan nan nan nan nan
1.1000 nan nan nan nan nan nan nan nan nan nan
1.1500 nan nan nan nan nan nan nan nan nan nan
1.2000 nan nan nan nan nan nan nan nan nan nan
1.2500 nan nan nan nan nan nan nan nan nan nan
1.3000 nan nan nan nan nan nan nan nan nan nan
1.3500 nan nan nan nan nan nan nan nan nan nan
1.4000 nan nan nan nan nan nan nan nan nan nan
1.4500 0.1156 0.5368 0.3112 0.1661 0.1071 0.3336 0.4103 0.4260 3.3574 0.9967
1.5000 0.1663 0.4781 0.3848 0.1513 0.1036 0.3039 0.4476 0.4402 3.3620 1.0064
1.5500 0.2545 0.4248 0.4210 0.1584 0.1031 0.2711 0.4935 0.4526 3.3671 1.0106
1.6000 0.3523 0.3801 0.4310 0.1804 0.1017 0.2587 0.5206 0.4649 3.3827 1.0063
1.6500 0.3949 0.3391 0.4420 0.1830 0.1148 0.2219 0.5371 0.4774 3.3947 1.0092
1.7000 0.3603 0.3043 0.4541 0.1724 0.1341 0.1763 0.5473 0.4790 3.4069 1.0116
1.7500 0.3057 0.2748 0.4726 0.1657 0.1468 0.1555 0.5486 0.4938 3.4205 1.0060
1.8000 0.2703 0.2467 0.4906 0.1622 0.1583 0.1325 0.5458 0.5090 3.4266 0.9980
1.8500 0.2420 0.2335 0.4946 0.1592 0.1643 0.1053 0.5168 0.5071 3.4163 1.0004
1.9000 0.2098 0.2407 0.4665 0.1931 0.1448 0.0822 0.4473 0.4864 3.3760 1.0148
1.9500 0.1768 0.2520 0.4190 0.2717 0.1118 0.0814 0.4231 0.4881 3.3783 1.0074
2.0000 0.1515 0.2503 0.3926 0.3233 0.0818 0.0858 0.4000 0.4845 3.3871 0.9996
2.0500 0.1377 0.2447 0.3798 0.3449 0.0614 0.0981 0.3742 0.4179 3.4396 0.9891
2.1000 0.1453 0.2427 0.3633 0.3578 0.0563 0.1115 0.3542 0.3635 3.4890 0.9743
2.1500 0.1976 0.2412 0.3412 0.3671 0.0606 0.1156 0.3290 0.3672 3.4773 0.9634
2.2000 0.3172 0.2324 0.3185 0.3735 0.0711 0.1222 0.3025 0.3705 3.4780 0.9502
2.2500 0.4806 0.2131 0.2934 0.3755 0.1070 0.1108 0.2692 0.3929 3.4821 0.9396
2.3000 0.6621 0.1914 0.2681 0.3576 0.1946 0.0625 0.2525 0.3999 3.4797 0.9321
2.3500 0.8028 0.1781 0.2417 0.3389 0.2584 0.0413 0.2429 0.4027 3.4797 0.9243
2.4000 0.8622 0.1771 0.2136 0.3417 0.2825 0.0537 0.2186 0.4119 3.4839 0.9176
2.4500 0.8803 0.1932 0.1836 0.3509 0.2887 0.0723 0.1987 0.4192 3.4958 0.9132
