# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 0.1819 0.1402 0.2714 0.1427 0.4127 -0.1225 0.2418 0.2458 3.2763 0.8500
0.5000 0.2223 0.0822 0.2883 0.0896 0.4277 -0.0645 0.1611 0.2757 3.3214 0.8506
0.5500 0.2505 0.0457 0.2911 0.0613 0.3333 0.0505 0.1242 0.2957 3.3622 0.8490
0.6000 0.2869 0.0285 0.2886 0.0212 0.2267 0.1778 0.0935 0.3071 3.3994 0.8493
0.6500 0.3215 0.0350 0.2314 0.0588 0.1266 0.2483 0.0710 0.3210 3.4254 0.8530
0.7000 0.3369 0.0497 0.1411 0.1772 0.0205 0.2819 0.0525 0.3288 3.4389 0.8628
0.7500 0.3162 0.0765 0.0757 0.2148 -0.0042 0.2851 0.0409 0.3231 3.4536 0.8764
0.8000 0.2823 0.0979 0.0264 0.2509 -0.0427 0.2963 0.1272 0.2122 3.4734 0.8903
0.8500 0.2478 0.1120 -0.0010 0.2503 -0.0204 0.2074 0.2032 0.1686 3.4997 0.9052
0.9000 0.2124 0.1319 -0.0157 0.2005 0.0878 0.0177 0.3184 0.1412 3.5184 0.9215
0.9500 0.1660 0.1764 -0.0244 0.1332 0.1515 -0.0058 0.3109 0.1145 3.5328 0.9396
1.0000 0.1102 0.2392 -0.0360 0.0828 0.1828 -0.0041 0.2955 0.0841 3.5386 0.9630
1.0500 0.0969 0.2685 -0.0288 0.0272 0.2038 -0.0035 0.2926 0.0678 3.5210 0.9976
1.1000 0.1054 0.2677 -0.0048 -0.0224 0.1915 0.0269 0.2749 0.0570 3.5127 1.0255
1.1500 0.0880 0.2614 0.0195 -0.0624 0.1801 0.0498 0.2606 0.0442 3.5011 1.0545
1.2000 0.0499 0.2629 0.0333 -0.0604 0.1188 0.0981 0.2451 0.0277 3.4821 1.0903
1.2500 0.0142 0.2748 0.0333 -0.0461 0.0708 0.1178 0.2399 0.0202 3.4515 1.1228
1.3000 -0.0156 0.2859 0.0294 -0.0308 0.0252 0.1319 0.2349 0.0440 3.3967 1.1493
1.3500 -0.0389 0.2864 0.0375 -0.0087 -0.0202 0.1516 0.2342 0.1577 3.2600 1.1618
1.4000 -0.0519 0.2769 0.0517 0.0104 -0.0493 0.1562 0.1640 0.2372 3.2194 1.1773
1.4500 -0.0450 0.2423 0.1050 0.0052 -0.0575 0.1404 0.1373 0.2923 3.2026 1.1774
1.5000 0.0018 0.1883 0.1823 -0.0169 -0.0474 0.1020 0.1574 0.3058 3.1910 1.1759
1.5500 0.0810 0.1416 0.2171 -0.0090 -0.0419 0.0658 0.1883 0.3107 3.1824 1.1701
1.6000 0.1661 0.1047 0.2234 0.0123 -0.0368 0.0553 0.1987 0.3137 3.1868 1.1543
1.6500 0.1991 0.0726 0.2330 0.0147 -0.0198 0.0297 0.2010 0.3160 3.1839 1.1482
1.7000 0.1586 0.0471 0.2444 0.0049 0.0059 -0.0021 0.2021 0.3029 3.1777 1.1438
1.7500 0.0975 0.0280 0.2602 -0.0008 0.0208 -0.0116 0.1935 0.3020 3.1768 1.1301
1.8000 0.0559 0.0111 0.2755 -0.0003 0.0294 -0.0224 0.1831 0.3024 3.1690 1.1136
1.8500 0.0244 0.0081 0.2767 0.0037 0.0374 -0.0388 0.1605 0.2852 3.1359 1.1130
1.9000 -0.0076 0.0250 0.2448 0.0471 0.0230 -0.0469 0.1086 0.2517 3.0601 1.1301
