# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 nan nan nan nan nan nan nan nan nan nan
0.7500 nan nan nan nan nan nan nan nan nan nan
0.8000 nan nan nan nan nan nan nan nan nan nan
0.8500 nan nan nan nan nan nan nan nan nan nan
0.9000 nan nan nan nan nan nan nan nan nan nan
0.9500 nan nan nan nan nan nan nan nan nan nan
1.0000 nan nan nan nan nan nan nan nan nan nan
1.0500 nan nan nan nan nan nan nan nan nan nan
1.1000 nan nan nan nan nan nan nan nan nan nan
1.1500 nan nan nan nan nan nan nan nan nan nan
1.2000 nan nan nan nan nan nan nan nan nan nan
1.2500 nan nan nan nan nan nan nan nan nan nan
1.3000 nan nan nan nan nan nan nan nan nan nan
1.3500 nan nan nan nan nan nan nan nan nan nan
1.4000 nan nan nan nan nan nan nan nan nan nan
1.4500 -0.1005 0.2847 0.1405 0.0487 -0.0005 0.2358 0.2944 0.3790 3.3016 1.0056
1.5000 -0.0459 0.2252 0.2171 0.0261 0.0035 0.1970 0.3237 0.3920 3.3037 1.0147
1.5500 0.0453 0.1705 0.2535 0.0302 0.0065 0.1586 0.3617 0.4014 3.3070 1.0182
1.6000 0.1433 0.1244 0.2616 0.0500 0.0083 0.1441 0.3791 0.4102 3.3212 1.0132
1.6500 0.1809 0.0827 0.2715 0.0512 0.0221 0.1099 0.3849 0.4181 3.3299 1.0156
1.7000 0.1365 0.0491 0.2830 0.0394 0.0440 0.0684 0.3849 0.4123 3.3372 1.0175
1.7500 0.0712 0.0233 0.3004 0.0313 0.0572 0.0514 0.3769 0.4204 3.3477 1.0112
1.8000 0.0281 -0.0000 0.3171 0.0277 0.0659 0.0334 0.3653 0.4290 3.3503 1.0025
1.8500 -0.0053 -0.0075 0.3176 0.0279 0.0703 0.0103 0.3312 0.4180 3.3321 1.0045
1.9000 -0.0400 0.0053 0.2839 0.0685 0.0498 -0.0068 0.2594 0.3864 3.2780 1.0184
1.9500 -0.0739 0.0215 0.2331 0.1500 0.0119 -0.0042 0.2306 0.3816 3.2745 1.0104
2.0000 -0.0998 0.0239 0.2048 0.2023 -0.0208 0.0045 0.2032 0.3699 3.2780 1.0023
2.0500 -0.1137 0.0217 0.1905 0.2228 -0.0409 0.0207 0.1751 0.2902 3.3289 0.9911
2.1000 -0.1059 0.0221 0.1731 0.2340 -0.0447 0.0328 0.1561 0.2247 3.3765 0.9753
2.1500 -0.0535 0.0219 0.1502 0.2424 -0.0393 0.0357 0.1332 0.2247 3.3543 0.9635
2.2000 0.0652 0.0123 0.1272 0.2482 -0.0281 0.0401 0.1090 0.2221 3.3480 0.9494
2.2500 0.2259 -0.0103 0.1028 0.2488 0.0101 0.0257 0.0760 0.2383 3.3465 0.9380
2.3000 0.4015 -0.0358 0.0788 0.2298 0.1010 -0.0273 0.0618 0.2391 3.3370 0.9292
2.3500 0.5347 -0.0525 0.0543 0.2100 0.1648 -0.0494 0.0527 0.2362 3.3300 0.9204
2.4000 0.5893 -0.0558 0.0286 0.2114 0.1877 -0.0358 0.0279 0.2389 3.3282 0.9127
2.4500 0.6024 -0.0403 0.0014 0.2193 0.1914 -0.0157 0.0082 0.2396 3.3345 0.9075
