# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 0.0674 0.3491 0.2752 0.2156 -0.0311 0.1409 0.2905 0.2247 3.2066 0.8031
0.3000 0.0327 0.3012 0.1500 0.4478 -0.1819 0.1296 0.3033 0.2116 3.2926 0.8368
0.3500 0.0167 0.2487 0.1193 0.4647 -0.1935 0.0965 0.3182 0.2076 3.3591 0.8659
0.4000 0.0664 0.1740 0.1333 0.3409 0.0811 -0.0844 0.3058 0.2214 3.4034 0.8899
0.4500 0.1566 0.0711 0.2096 0.0979 0.4329 -0.1705 0.1955 0.2470 3.4361 0.9068
0.5000 0.1987 0.0258 0.2242 0.0386 0.4452 -0.1002 0.1018 0.2718 3.4737 0.9147
0.5500 0.2281 -0.0006 0.2268 0.0106 0.3325 0.0298 0.0615 0.2855 3.5057 0.9206
0.6000 0.2648 -0.0102 0.2254 -0.0245 0.2039 0.1704 0.0298 0.2904 3.5351 0.9275
0.6500 0.2992 0.0017 0.1725 0.0168 0.0895 0.2483 0.0067 0.2980 3.5521 0.9371
0.7000 0.3148 0.0217 0.0859 0.1389 -0.0233 0.2809 -0.0102 0.3000 3.5576 0.9503
0.7500 0.2943 0.0520 0.0275 0.1723 -0.0434 0.2783 -0.0187 0.2873 3.5638 0.9665
0.8000 0.2599 0.0747 -0.0129 0.2040 -0.0744 0.2821 0.0815 0.1590 3.5743 0.9818
0.8500 0.2258 0.0904 -0.0332 0.2023 -0.0487 0.1850 0.1620 0.1091 3.5927 0.9973
0.9000 0.1920 0.1123 -0.0441 0.1562 0.0600 -0.0155 0.2839 0.0777 3.6023 1.0142
0.9500 0.1485 0.1574 -0.0501 0.0953 0.1181 -0.0366 0.2751 0.0492 3.6056 1.0331
1.0000 0.0964 0.2200 -0.0578 0.0486 0.1465 -0.0324 0.2572 0.0180 3.5999 1.0568
1.0500 0.0862 0.2488 -0.0472 -0.0047 0.1679 -0.0312 0.2515 0.0019 3.5700 1.0926
1.1000 0.1000 0.2479 -0.0222 -0.0485 0.1558 -0.0005 0.2311 -0.0088 3.5502 1.1200
1.1500 0.0906 0.2414 0.0033 -0.0839 0.1475 0.0207 0.2142 -0.0204 3.5274 1.1480
1.2000 0.0598 0.2424 0.0182 -0.0793 0.0903 0.0682 0.1959 -0.0354 3.4979 1.1823
1.2500 0.0297 0.2540 0.0194 -0.0629 0.0448 0.0887 0.1890 -0.0418 3.4569 1.2130
1.3000 0.0045 0.2653 0.0164 -0.0454 0.0002 0.1040 0.1832 -0.0142 3.3897 1.2379
1.3500 -0.0156 0.2661 0.0254 -0.0231 -0.0419 0.1217 0.1821 0.1101 3.2348 1.2481
1.4000 -0.0271 0.2574 0.0404 -0.0039 -0.0668 0.1250 0.1095 0.1935 3.1858 1.2607
1.4500 -0.0206 0.2244 0.0934 -0.0092 -0.0726 0.1094 0.0784 0.2506 3.1608 1.2581
1.5000 0.0227 0.1728 0.1700 -0.0305 -0.0618 0.0728 0.0952 0.2641 3.1419 1.2534
1.5500 0.0965 0.1296 0.2037 -0.0210 -0.0564 0.0387 0.1237 0.2669 3.1268 1.2446
1.6000 0.1761 0.0966 0.2090 0.0010 -0.0510 0.0299 0.1326 0.2673 3.1254 1.2253
1.6500 0.2071 0.0686 0.2181 0.0037 -0.0331 0.0069 0.1350 0.2677 3.1165 1.2158
1.7000 0.1683 0.0466 0.2289 -0.0056 -0.0065 -0.0218 0.1382 0.2526 3.1041 1.2087
1.7500 0.1092 0.0305 0.2438 -0.0102 0.0087 -0.0292 0.1308 0.2486 3.0975 1.1922
1.8000 0.0684 0.0162 0.2581 -0.0082 0.0172 -0.0381 0.1220 0.2464 3.0846 1.1726
