# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 nan nan nan nan nan nan nan nan nan nan
0.2500 nan nan nan nan nan nan nan nan nan nan
0.3000 nan nan nan nan nan nan nan nan nan nan
0.3500 nan nan nan nan nan nan nan nan nan nan
0.4000 nan nan nan nan nan nan nan nan nan nan
0.4500 nan nan nan nan nan nan nan nan nan nan
0.5000 nan nan nan nan nan nan nan nan nan nan
0.5500 nan nan nan nan nan nan nan nan nan nan
0.6000 nan nan nan nan nan nan nan nan nan nan
0.6500 nan nan nan nan nan nan nan nan nan nan
0.7000 nan nan nan nan nan nan nan nan nan nan
0.7500 nan nan nan nan nan nan nan nan nan nan
0.8000 nan nan nan nan nan nan nan nan nan nan
0.8500 nan nan nan nan nan nan nan nan nan nan
0.9000 nan nan nan nan nan nan nan nan nan nan
0.9500 nan nan nan nan nan nan nan nan nan nan
1.0000 0.1339 0.2759 0.0117 0.1594 0.2465 0.0500 0.3532 0.1875 3.4505 0.8037
1.0500 0.1151 0.3049 0.0105 0.1001 0.2708 0.0485 0.3559 0.1725 3.4515 0.8379
1.1000 0.1146 0.3035 0.0317 0.0387 0.2619 0.0778 0.3438 0.1628 3.4598 0.8682
1.1500 0.0839 0.2969 0.0538 -0.0112 0.2469 0.1041 0.3353 0.1497 3.4647 0.9004
1.2000 0.0339 0.2987 0.0651 -0.0166 0.1809 0.1536 0.3268 0.1323 3.4610 0.9394
1.2500 -0.0108 0.3104 0.0626 -0.0085 0.1299 0.1727 0.3265 0.1240 3.4458 0.9757
1.3000 -0.0481 0.3208 0.0565 0.0003 0.0838 0.1854 0.3244 0.1424 3.4106 1.0061
1.3500 -0.0767 0.3206 0.0628 0.0209 0.0320 0.2097 0.3252 0.2358 3.3057 1.0242
1.4000 -0.0921 0.3095 0.0755 0.0394 -0.0066 0.2182 0.2631 0.3064 3.2783 1.0455
1.4500 -0.0845 0.2721 0.1285 0.0341 -0.0209 0.2045 0.2464 0.3555 3.2735 1.0523
1.5000 -0.0321 0.2142 0.2057 0.0115 -0.0143 0.1650 0.2728 0.3687 3.2720 1.0580
1.5500 0.0556 0.1618 0.2419 0.0167 -0.0102 0.1269 0.3085 0.3769 3.2723 1.0586
1.6000 0.1500 0.1184 0.2496 0.0369 -0.0070 0.1135 0.3234 0.3840 3.2842 1.0503
1.6500 0.1862 0.0796 0.2595 0.0386 0.0079 0.0821 0.3275 0.3902 3.2898 1.0502
1.7000 0.1429 0.0484 0.2712 0.0274 0.0312 0.0438 0.3270 0.3820 3.2934 1.0503
1.7500 0.0787 0.0245 0.2882 0.0201 0.0451 0.0293 0.3182 0.3873 3.3009 1.0419
1.8000 0.0361 0.0031 0.3047 0.0177 0.0537 0.0138 0.3065 0.3932 3.3007 1.0309
1.8500 0.0031 -0.0031 0.3055 0.0194 0.0592 -0.0070 0.2753 0.3797 3.2779 1.0323
1.9000 -0.0307 0.0110 0.2724 0.0612 0.0407 -0.0209 0.2089 0.3465 3.2166 1.0475
1.9500 -0.0644 0.0287 0.2219 0.1429 0.0032 -0.0164 0.1816 0.3405 3.2092 1.0383
2.0000 -0.0905 0.0333 0.1936 0.1951 -0.0291 -0.0058 0.1558 0.3269 3.2096 1.0291
2.0500 -0.1047 0.0330 0.1795 0.2152 -0.0483 0.0120 0.1299 0.2426 3.2606 1.0168
2.1000 -0.0974 0.0347 0.1623 0.2260 -0.0510 0.0241 0.1137 0.1731 3.3081 0.9995
2.1500 -0.0465 0.0356 0.1398 0.2342 -0.0444 0.0271 0.0943 0.1735 3.2818 0.9863
2.2000 0.0691 0.0273 0.1175 0.2397 -0.0326 0.0317 0.0731 0.1706 3.2730 0.9705
