# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
4.2000 inf 1.7307 0.6015 0.1517 0.2351 0.0647 0.3818 0.2347 3.4430 0.8482
4.2500 inf 1.7877 0.6126 0.1966 0.2066 0.0700 0.3794 0.2038 3.0331 0.4886
4.3000 inf 1.8505 0.6214 0.2601 0.1656 0.0786 0.3771 0.2143 3.0163 0.4347
4.3500 inf 1.9157 0.6338 0.3249 0.1223 0.0914 0.3714 0.2295 3.0363 0.4447
4.4000 inf 1.9853 0.6595 0.3699 0.0882 0.1070 0.3651 0.2438 3.0173 0.4279
4.4500 inf 2.0483 0.7081 0.3911 0.0644 0.1264 0.3577 0.2679 2.9916 0.4244
4.5000 inf 2.1029 0.7896 0.3852 0.0510 0.1424 0.3500 0.2888 2.9764 0.4156
4.5500 inf 2.1306 0.9173 0.3597 0.0460 0.1552 0.3402 0.3041 2.9781 0.4101
4.6000 inf 2.1239 1.0953 0.3186 0.0476 0.1645 0.3262 0.3225 2.9779 0.4083
4.6500 inf 2.1105 1.2928 0.2773 0.0551 0.1693 0.3057 0.3472 2.9763 0.4128
4.7000 inf 2.1317 1.4593 0.2455 0.0632 0.1747 0.2941 0.3601 2.9606 0.4348
4.7500 inf 2.1953 1.5881 0.2333 0.0718 0.1788 0.2852 0.3682 2.9183 0.4887
4.8000 inf 2.3356 1.6415 0.2493 0.0805 0.1804 0.2794 0.3743 2.8516 0.5455
4.8500 inf 2.5455 1.6403 0.2880 0.0910 0.1766 0.2764 0.3793 2.8184 0.5905
4.9000 inf 2.8402 1.6273 0.3235 0.1219 0.1568 0.2756 0.3836 2.8066 0.6158
4.9500 inf 3.2238 1.6143 0.3441 0.1832 0.1197 0.2741 0.3881 2.8062 0.6300
5.0000 inf 3.7111 1.6058 0.3517 0.2531 0.0866 0.2708 0.3931 2.8111 0.6417
