# Redshift u-g g-r r-i i-z z-y y-Y Y-J J-H H-W1 W1-W2
0.2000 0.2714 0.4541 0.4426 -0.0373 0.1073 0.1800 0.2687 0.2663 3.2930 0.7924
0.2500 0.2275 0.4406 0.2992 0.2226 -0.0364 0.1375 0.2915 0.2516 3.4016 0.8351
0.3000 0.1996 0.4086 0.1800 0.4581 -0.1838 0.1255 0.3021 0.2355 3.4866 0.8720
0.3500 0.1897 0.3699 0.1578 0.4758 -0.1916 0.0933 0.3150 0.2274 3.5511 0.9054
0.4000 0.2444 0.3093 0.1759 0.3554 0.0867 -0.0859 0.3015 0.2370 3.5918 0.9347
0.4500 0.3393 0.2186 0.2562 0.1188 0.4395 -0.1694 0.1910 0.2598 3.6188 0.9584
0.5000 0.3860 0.1803 0.2802 0.0646 0.4523 -0.0970 0.0981 0.2811 3.6496 0.9743
0.5500 0.4203 0.1573 0.2941 0.0417 0.3404 0.0346 0.0601 0.2912 3.6736 0.9887
0.6000 0.4621 0.1519 0.3013 0.0134 0.2131 0.1758 0.0311 0.2928 3.6958 1.0033
0.6500 0.5025 0.1672 0.2601 0.0536 0.1056 0.2543 0.0111 0.2981 3.7047 1.0199
0.7000 0.5261 0.1911 0.1841 0.1718 0.0020 0.2875 -0.0025 0.2985 3.7030 1.0381
0.7500 0.5147 0.2254 0.1334 0.2068 -0.0123 0.2858 -0.0078 0.2851 3.7017 1.0582
0.8000 0.4874 0.2522 0.0955 0.2455 -0.0392 0.2906 0.0932 0.1594 3.7044 1.0763
0.8500 0.4590 0.2718 0.0763 0.2540 -0.0175 0.2006 0.1749 0.1102 3.7156 1.0940
0.9000 0.4295 0.2982 0.0664 0.2177 0.0848 0.0095 0.2991 0.0801 3.7176 1.1127
0.9500 0.3881 0.3467 0.0628 0.1658 0.1412 -0.0092 0.2958 0.0538 3.7123 1.1331
1.0000 0.3346 0.4128 0.0589 0.1249 0.1730 -0.0051 0.2830 0.0251 3.6985 1.1578
1.0500 0.3222 0.4470 0.0718 0.0753 0.2020 -0.0050 0.2811 0.0115 3.6603 1.1946
1.1000 0.3376 0.4527 0.0991 0.0340 0.1972 0.0250 0.2647 0.0033 3.6332 1.2218
1.1500 0.3344 0.4521 0.1282 -0.0004 0.1943 0.0478 0.2517 -0.0054 3.6036 1.2489
1.2000 0.3081 0.4579 0.1464 0.0035 0.1447 0.0951 0.2384 -0.0176 3.5685 1.2818
1.2500 0.2797 0.4740 0.1512 0.0185 0.1047 0.1186 0.2354 -0.0212 3.5227 1.3109
1.3000 0.2550 0.4900 0.1513 0.0354 0.0643 0.1366 0.2340 0.0080 3.4522 1.3343
1.3500 0.2345 0.4948 0.1632 0.0585 0.0246 0.1569 0.2361 0.1308 3.2972 1.3425
1.4000 0.2211 0.4900 0.1805 0.0792 0.0002 0.1650 0.1675 0.2165 3.2453 1.3525
1.4500 0.2240 0.4602 0.2345 0.0775 -0.0057 0.1549 0.1380 0.2757 3.2148 1.3478
1.5000 0.2618 0.4108 0.3115 0.0616 0.0029 0.1243 0.1573 0.2914 3.1911 1.3405
1.5500 0.3293 0.3715 0.3464 0.0753 0.0071 0.0941 0.1893 0.2962 3.1712 1.3294
1.6000 0.4049 0.3435 0.3538 0.0995 0.0121 0.0877 0.2025 0.2983 3.1651 1.3073
1.6500 0.4389 0.3197 0.3657 0.1037 0.0310 0.0656 0.2108 0.3014 3.1535 1.2949
1.7000 0.4094 0.2994 0.3795 0.0963 0.0578 0.0372 0.2201 0.2908 3.1400 1.2855
1.7500 0.3602 0.2825 0.3969 0.0939 0.0739 0.0299 0.2181 0.2897 3.1311 1.2668
1.8000 0.3264 0.2661 0.4139 0.0983 0.0842 0.0206 0.2150 0.2904 3.1170 1.2448
1.8500 0.3006 0.2614 0.4201 0.1037 0.0964 0.0056 0.2035 0.2777 3.0811 1.2411
1.9000 0.2730 0.2764 0.3949 0.1458 0.0883 -0.0004 0.1662 0.2530 3.0064 1.2593
1.9500 0.2414 0.2982 0.3498 0.2258 0.0566 0.0086 0.1500 0.2501 2.9853 1.2429
2.0000 0.2139 0.3109 0.3242 0.2767 0.0292 0.0240 0.1339 0.2383 2.9740 1.2275
2.0500 0.1975 0.3181 0.3125 0.2960 0.0140 0.0459 0.1195 0.1529 3.0244 1.2084
2.1000 0.2012 0.3253 0.2978 0.3064 0.0159 0.0582 0.1146 0.0822 3.0688 1.1828
2.1500 0.2435 0.3316 0.2779 0.3140 0.0281 0.0618 0.1092 0.0884 3.0368 1.1607
2.2000 0.3413 0.3315 0.2592 0.3190 0.0420 0.0690 0.0997 0.0896 3.0251 1.1346
2.2500 0.4788 0.3211 0.2396 0.3205 0.0781 0.0605 0.0790 0.1071 3.0191 1.1096
2.3000 0.6332 0.3048 0.2235 0.3009 0.1669 0.0148 0.0765 0.1144 3.0055 1.0855
2.3500 0.7574 0.2909 0.2103 0.2805 0.2282 -0.0013 0.0781 0.1183 2.9918 1.0615
2.4000 0.8199 0.2864 0.1950 0.2839 0.2472 0.0150 0.0630 0.1261 2.9818 1.0396
2.4500 0.8447 0.2950 0.1777 0.2944 0.2486 0.0368 0.0499 0.1320 2.9784 1.0201
2.5000 0.8508 0.3191 0.1573 0.3040 0.2387 0.0557 0.0489 0.1446 2.9594 1.0130
2.5500 0.8446 0.3605 0.1383 0.3045 0.2274 0.0740 0.0589 0.1527 2.9361 1.0076
2.6000 0.8388 0.3997 0.1423 0.2841 0.2185 0.0947 0.0708 0.1531 2.9283 0.9953
2.6500 0.8477 0.4279 0.1678 0.2442 0.2181 0.1161 0.0746 0.1561 2.9224 0.9842
2.7000 0.8822 0.4374 0.2034 0.1992 0.2232 0.1341 0.0866 0.1518 2.9125 0.9768
2.7500 0.9422 0.4417 0.2285 0.1632 0.2319 0.1467 0.1000 0.1463 2.8979 0.9754
2.8000 1.0219 0.4466 0.2435 0.1355 0.2458 0.1530 0.1110 0.1367 2.8876 0.9759
2.8500 1.1159 0.4548 0.2539 0.1131 0.2577 0.1580 0.1189 0.1328 2.8775 0.9715
2.9000 1.2238 0.4706 0.2572 0.1013 0.2623 0.1652 0.1269 0.1283 2.8652 0.9637
2.9500 1.3404 0.4936 0.2540 0.0978 0.2646 0.1738 0.1357 0.1252 2.8468 0.9549
3.0000 1.4712 0.5191 0.2466 0.0981 0.2650 0.1829 0.1452 0.1140 2.8367 0.9462
3.0500 1.6226 0.5456 0.2519 0.0884 0.2571 0.1986 0.1532 0.1097 2.8432 0.9361
3.1000 1.8050 0.5702 0.2579 0.0843 0.2396 0.2162 0.1645 0.1032 2.8521 0.9277
3.1500 2.0500 0.5932 0.2660 0.0836 0.2173 0.2307 0.1861 0.0764 2.8681 0.9208
3.2000 2.3744 0.6173 0.2729 0.0900 0.1904 0.2458 0.2146 0.0642 2.8812 0.9125
3.2500 2.8018 0.6416 0.2715 0.1165 0.1541 0.2565 0.2334 0.0667 2.9102 0.8894
3.3000 3.3568 0.6720 0.2589 0.1634 0.1092 0.2612 0.2539 0.0684 2.9512 0.8594
3.3500 4.1031 0.7139 0.2435 0.2120 0.0679 0.2456 0.2867 0.0706 2.9708 0.8514
3.4000 5.3055 0.7694 0.2438 0.2365 0.0430 0.2246 0.3174 0.0735 2.9867 0.8491
3.4500 7.4299 0.8485 0.2648 0.2329 0.0340 0.2120 0.3356 0.0757 3.0125 0.8390
3.5000 inf 0.9556 0.2918 0.2131 0.0299 0.2047 0.3469 0.0831 3.0358 0.8295
3.5500 inf 1.0767 0.3134 0.1965 0.0257 0.2031 0.3520 0.0919 3.0532 0.8206
3.6000 inf 1.1956 0.3203 0.1925 0.0229 0.2025 0.3549 0.0962 3.0646 0.8124
3.6500 inf 1.2876 0.3224 0.1979 0.0222 0.1980 0.3607 0.0982 3.0620 0.8015
3.7000 inf 1.3453 0.3330 0.2007 0.0262 0.1903 0.3691 0.1061 3.0515 0.7940
3.7500 inf 1.3922 0.3449 0.2001 0.0395 0.1768 0.3775 0.1159 3.0556 0.7766
3.8000 inf 1.4328 0.3602 0.1902 0.0766 0.1484 0.3850 0.1283 3.0714 0.7483
3.8500 inf 1.4675 0.3796 0.1710 0.1352 0.1084 0.3923 0.1393 3.0832 0.7279
3.9000 inf 1.4998 0.3995 0.1555 0.1859 0.0790 0.3962 0.1479 3.0927 0.7120
3.9500 inf 1.5289 0.4311 0.1424 0.2210 0.0601 0.3948 0.1576 3.0893 0.6939
4.0000 inf 1.5619 0.4752 0.1257 0.2414 0.0550 0.3873 0.1670 3.1029 0.6877
4.0500 inf 1.5981 0.5148 0.1201 0.2502 0.0539 0.3873 0.2030 3.3898 0.8484
4.1000 inf 1.6364 0.5467 0.1243 0.2525 0.0540 0.3852 0.2119 3.4037 0.8394
4.1500 inf 1.6814 0.5751 0.1328 0.2485 0.0593 0.3815 0.2182 3.3742 0.8166
